Nombre,Bares,Seguridad,Act Impacto, Policia, Salud, Cultura, Deporte, Total
COL MAYOR DEL QUIROGA  (TALLER INF QUIROGA),9.0,5.73,10.0,1.0,7.0,10.0,7.0,7.104285714285715
COL NAL CLEMENCIA DE CAYCEDO,8.5,5.390000000000001,8.0,2.0,7.25,10.0,8.25,7.055714285714286
CENT EDUC DIST BRAVO PAEZ,9.0,7.9,10.0,1.0,7.0,10.0,7.25,7.45
COL MARIA CANO (NIS EDUC DIST),0.0,7.4,0.0,3.0,8.0,10.0,10.0,5.485714285714286
CENT EDUC DIST QUIROGA ALIANZA,9.5,5.88,10.0,1.0,7.0,10.0,7.0,7.197142857142857
CENT EDUC DIST ALEJANDRO OBREGON,6.0,7.5,6.0,1.0,7.0,10.0,8.5,6.571428571428571
LICEO FEM DE CUNDINAMARCA MERCEDES NARIÑO,0.0,6.630000000000001,0.0,3.0,8.25,10.0,9.5,5.340000000000001
CENT EDUC DIST REP FEDERAL DE ALEMANIA,2.75,6.969999999999999,6.0,2.0,6.0,10.0,5.5,5.602857142857142
CENT EDUC DIST MARRUECOS Y MOLINOS,5.0,9.5,10.0,5.0,3.5,10.0,4.5,6.785714285714286
CENT EDUC DIST REINO DE HOLANDA,3.25,6.75,10.0,0.0,5.75,10.0,6.5,6.035714285714286
