Nombre,Bares,Seguridad,Act Impacto, Policia, Salud, Cultura, Deporte, Total
INST PEDAG LA REAL SOCIEDAD - SEDE PRINCIPAL,0.0,7.05,2.0,3.5,1.0,10.0,3.0,3.792857142857143
COL SANTA LIBRADA,0.0,6.890000000000001,6.0,3.5,1.0,10.0,3.0,4.341428571428572
COL ARIEL DAVID,5.25,9.7,10.0,2.5,1.0,9.55,2.75,5.821428571428571
LIC MARANATA,5.75,9.95,10.0,5.0,0.75,6.050000000000001,1.25,5.535714285714286
INST EDUC DIST JUAN LUIS  LONDOÑO,7.5,9.95,10.0,1.0,2.0,10.0,2.25,6.1000000000000005
CENT EDUC DIST NUEVA ESPERANZA,9.0,9.790000000000001,10.0,0.0,1.0,7.45,1.0,5.4628571428571435
CENT EDUC DIST SANTA LIBRADA,0.0,7.15,6.0,3.5,1.0,10.0,3.0,4.378571428571428
COLEGIO FERNANDO GONZALEZ OCHOA,4.0,7.85,10.0,1.0,1.0,8.05,2.25,4.878571428571429
ORLANDO FALS BORDA (ANTES BARRANQUILLITA),4.5,5.65,4.0,5.5,1.25,10.0,2.5,4.771428571428571
CENT EDUC DIST GRAN YOMASA,2.0,9.9,10.0,1.0,1.0,10.0,3.25,5.307142857142857
CENT EDUC DIST DON BOSCO IV,4.75,7.85,10.0,0.0,1.0,7.800000000000001,1.75,4.735714285714287
COL DE EDUC BAS Y MEDIA ESTANISLAO ZULETA,3.0,9.75,10.0,1.0,0.75,6.8500000000000005,1.75,4.728571428571429
INST EDUC DIST EL BOSQUE,6.0,7.95,10.0,1.0,1.0,8.95,2.5,5.3428571428571425
COL DIST DE USME,10.0,9.84,10.0,0.0,0.25,2.9000000000000004,0.75,4.82
CENT EDUC DIST MIRAVALLE,5.0,7.3,6.0,6.0,1.0,10.0,3.0,5.471428571428571
