Nombre,Bares,Seguridad,Act Impacto, Policia, Salud, Cultura, Deporte, Total
COL LA NUEVA ESTANCIA,6.5,5.25,8.0,2.0,2.25,10.0,3.25,5.321428571428571
GIMN BILING OBREGON,9.0,9.38,10.0,1.0,3.25,10.0,3.75,6.625714285714286
NUEVO COL LUSADI,6.5,0.0,10.0,2.0,3.25,10.0,3.5,5.035714285714286
COL POPULAR BOLIVARIANO,2.5,8.780000000000001,10.0,1.0,3.25,10.0,5.25,5.825714285714286
LIC LA CORUÑA,6.5,6.46,10.0,0.0,3.0,10.0,4.5,5.78
INST SANTA MARIA DE LA CRUZ,0.75,6.790000000000001,10.0,1.0,3.0,10.0,4.0,5.077142857142857
INST DE EDUC ELEMENTAL PREESCOLAR Y SECUNDARIA  INELPRES,7.25,9.290000000000001,10.0,0.0,3.75,10.0,4.25,6.362857142857143
CENT EDUC DIST MANUELA BELTRAN,0.75,6.99,10.0,2.0,3.0,10.0,4.25,5.284285714285715
CEDID CIUDAD BOLIVAR,2.0,5.1,10.0,2.5,3.0,10.0,3.5,5.1571428571428575
CENT EDUC DIST ISMAEL PERDOMO,3.75,9.15,10.0,7.5,3.0,10.0,3.0,6.628571428571428
COL DIST EDUC BAS Y MEDIA ARBORIZADORA ALTA,2.0,6.7,10.0,1.0,3.25,10.0,4.0,5.278571428571429
COL ANTONIO GARCIA (INS EDUC DIST),4.5,3.65,10.0,2.0,3.25,10.0,4.0,5.3428571428571425
CENT EDUC DIST CALASANZ (BUENAVISTA),4.5,3.44,10.0,1.0,2.5,10.0,2.25,4.812857142857142
CENT EDUC DIST RAFAEL URIBE URIBE,0.0,9.2,10.0,5.0,3.25,10.0,2.75,5.742857142857143
CENT EDUC DIST SOTAVENTO,5.5,5.7,10.0,1.0,3.25,10.0,4.0,5.635714285714286
