Nombre,Bares,Seguridad,Act Impacto, Policia, Salud, Cultura, Deporte,Total
COL COLOMBO BRIGHTON - SEDE PRINCIPAL,8.6,7.68,10.0,0.0,6.25,2.475,6.0,5.857857142857143
CENT EDUC PARA JOVENES Y ADULTOS LEPANTO,4.65,6.79,10.0,7.0,7.25,6.875,6.5,7.009285714285714
NUEVO LIC GRANADINO,1.6999999999999997,0.0,1.0,4.0,1.5,6.525,3.0,2.5321428571428575
COL BRITANICO SEDE KENNEDY,0.09999999999999964,3.2699999999999996,1.0,3.0,6.25,6.65,4.0,3.467142857142857
CENT EDUC WILFREDO LEHNER,4.65,7.470000000000001,8.0,4.5,1.5,5.375,2.75,4.892142857142858
COL COLOMBO JAPONES,3.0,9.12,10.0,1.0,3.0,6.4750000000000005,4.0,5.227857142857142
COL INST INSCAP SEDE FERIAS,2.55,6.55,4.0,1.0,10.0,3.4750000000000005,10.0,5.367857142857143
CENT PANAMERICANO DE CAPACITACION SEDE RESTREPO,0.0,1.4600000000000002,0.0,5.5,8.5,7.575,9.5,4.647857142857142
COL CIUDAD PATIO BONITO,0.0,2.33,0.0,2.5,3.5,5.550000000000001,3.0,2.411428571428572
EXTERN SIMON BOLIVAR,0.0,0.0,0.0,10.0,10.0,3.5500000000000003,10.0,4.792857142857143
COL DE FORMACION INTEGRAL VIRGEN DE LA PEÑA,7.45,6.81,9.0,1.0,7.25,4.15,2.75,5.487142857142857
COL CLARETIANO EL LIBERTADOR  - SEDE PRINCIPAL,2.75,4.82,0.0,3.5,1.5,6.4,2.5,3.067142857142857
COL LA NUEVA ESTANCIA,5.35,4.55,8.0,2.0,2.25,5.9750000000000005,3.25,4.482142857142857
UNID EDUC JEAN PIAGET,0.049999999999998934,5.84,10.0,1.0,8.5,4.4,4.75,4.934285714285714
COL ESTRADA DE MARIA AUXILIADORA,4.3,2.3499999999999996,4.0,1.0,10.0,3.575,10.0,5.032142857142857
COLEGIO MAYOR PRIMEROS MAESTROS,3.6999999999999997,3.87,1.0,2.0,10.0,4.700000000000001,7.75,4.717142857142858
INST TENERIFE,1.2999999999999998,7.120000000000001,7.0,5.0,2.75,6.95,2.75,4.695714285714287
INST ACAD BETHEL,7.35,0.0,3.0,9.0,8.5,8.125,6.25,6.0321428571428575
COLEGIO ERNESTO GUHL - SEDE PRINCIPAL,1.1999999999999993,6.2,2.0,2.0,2.0,5.775,3.0,3.1678571428571423
COL ARTEAGA MUÑOZ,0.0,1.8199999999999996,0.0,4.0,8.25,7.275,9.25,4.3707142857142856
COL MAYOR DEL QUIROGA  (TALLER INF QUIROGA),7.6,4.53,7.0,1.0,7.0,7.200000000000001,7.0,5.904285714285714
COLEGIO FRANCISCO I,6.5,4.5600000000000005,10.0,6.0,2.0,5.925000000000001,2.5,5.3549999999999995
LIC LA ESPAÑOLA GABRIEL ANZOLA GOMEZ,4.8,9.13,9.0,1.0,10.0,4.4,9.25,6.797142857142857
COL DEL SANTISIMO ROSARIO,0.0,0.0,2.0,6.0,10.0,9.65,6.75,4.914285714285714
COL CATOLICO DE LA SABANA,6.15,8.63,10.0,3.5,7.25,3.85,3.0,6.054285714285714
INST PEDAG PARA EL DESARROLLO INTEGRAL CREAR,5.25,7.81,10.0,2.5,10.0,4.125,7.75,6.776428571428572
COL ADVENTISTA EMMANUEL,0.0,2.7099999999999995,1.0,3.5,9.25,7.325,8.5,4.612142857142857
INST SUP COOPERATIVO,3.5999999999999996,6.27,9.0,1.0,10.0,4.575,8.75,6.170714285714285
COL TOMAS ALVA EDISON,9.25,9.809999999999999,10.0,1.0,3.25,3.05,2.0,5.4799999999999995
ESC NORMAL SUPERIOR NSTRA SRA DE LA PAZ,5.25,7.809999999999999,5.0,3.0,8.25,6.9,8.5,6.387142857142857
COL MARIA INMACULADA,7.1,4.36,9.0,3.5,6.0,1.175,4.75,5.126428571428572
GIMN NUEVO SUBA,1.7,2.14,10.0,5.0,6.5,4.0,3.25,4.655714285714287
COL NSTRA SRA DE NAZARETH,1.4,2.09,2.0,3.0,1.5,5.975,2.75,2.6735714285714285
COLEGIO SANTO DOMINGO BILINGÜE,1.0,8.63,0.0,0.0,6.25,6.65,4.75,3.8971428571428572
COL CAFAM,7.25,5.780000000000001,6.0,0.0,10.0,3.25,10.0,6.04
FUND INST TECNOLOGICO DEL SUR,2.6999999999999997,3.47,10.0,3.0,5.5,6.325,6.75,5.392142857142858
COLEGIO AGUSTINIANO TAGASTE - SEDE PRINCIPAL,9.5,9.790000000000001,10.0,0.0,7.25,2.875,3.0,6.059285714285714
COL DE BTO UNIVERSIDAD LIBRE,5.05,8.43,9.0,2.0,10.0,3.325,10.0,6.8292857142857155
CENT CIAL DE EDUC MEDIA MARGARITA BOSCO,3.1499999999999995,7.3999999999999995,5.0,2.0,10.0,3.8000000000000003,10.0,5.907142857142857
COL CRISTIANO SEMILLA DE VIDA,3.5999999999999996,4.5600000000000005,8.0,5.5,10.0,6.975,8.5,6.7335714285714285
GIMN BILING OBREGON,8.5,9.06,10.0,1.0,3.25,6.300000000000001,3.75,5.9799999999999995
COL ALFONSO JARAMILLO,6.35,6.22,9.0,1.0,6.5,1.7750000000000001,5.75,5.227857142857142
C.E. FORMAL PARA ADULTOS LOS SAUCES - SEDE PRINCIPAL,7.4,6.5,10.0,1.0,1.75,5.675000000000001,1.75,4.867857142857143
INST PEDAG LA REAL SOCIEDAD - SEDE PRINCIPAL,0.5,6.87,1.0,3.5,1.0,5.5,3.0,3.052857142857143
NUEVO COL LUSADI,3.4499999999999993,0.0,10.0,2.0,3.25,6.4750000000000005,3.5,4.0964285714285715
COL POPULAR BOLIVARIANO,3.25,8.350000000000001,10.0,1.0,3.25,6.625,5.25,5.389285714285714
INST INTEGRADO DE SUBA,1.8999999999999995,2.26,5.0,1.0,6.0,3.9250000000000003,3.75,3.4050000000000002
COL RAFAEL GOBERNA II SEDE,3.05,4.16,6.0,0.0,7.25,5.15,4.0,4.2299999999999995
COL SUR ORIENTAL PANAMERICANO,3.6499999999999995,3.4,10.0,1.0,4.0,5.625,3.0,4.382142857142857
LIC ARKADIA COLOMBIA,5.3,5.640000000000001,9.0,1.0,3.25,2.5,2.5,4.17
LIC  ANTONIO DE TOLEDO,4.449999999999999,5.210000000000001,8.0,8.5,1.5,5.325000000000001,2.75,5.1049999999999995
LIC GLOBERTH MIXTO,3.9,0.0,7.0,3.5,9.0,4.85,5.5,4.821428571428571
LIC LA CORUÑA,5.949999999999999,6.18,10.0,0.0,3.0,5.825000000000001,4.5,5.0649999999999995
