Nombre,Icfes,Bares,Seguridad,Act Impacto, Policia, Salud, Cultura, Deporte
COL BRITANICO SEDE KENNEDY,245.6923,0.0,4.25,6.0,5.0,10.0,10.0,6.0
COL CIUDAD PATIO BONITO,265.8532,0.0,2.99,0.0,6.0,8.5,10.0,5.0
UNID EDUC JEAN PIAGET,272.30879999999996,4.0,6.58,10.0,5.0,10.0,10.0,6.75
INST TENERIFE,268.3256,0.0,7.790000000000001,10.0,7.0,7.75,10.0,4.75
COLEGIO ERNESTO GUHL - SEDE PRINCIPAL,272.77779999999996,0.0,6.99,10.0,5.0,7.0,10.0,5.0
COLEGIO FRANCISCO I,269.1818,0.0,5.15,10.0,10.0,7.0,10.0,4.5
COLEGIO SANTO DOMINGO BILINGÜE,302.6176,0.0,9.3,8.0,5.0,10.0,10.0,6.75
COLEGIO AGUSTINIANO TAGASTE - SEDE PRINCIPAL,328.7478,10.0,9.9,10.0,5.0,10.0,7.75,5.0
COL RAFAEL GOBERNA II SEDE,258.7297,0.0,4.890000000000001,8.0,5.0,10.0,10.0,6.0
COL JAIME QUIJANO CABALLERO,281.83779999999996,0.0,5.48,2.0,5.0,10.0,10.0,6.25
INSTITUTO COMERCIAL LORETO - SEDE PRINCIPAL,293.1299,0.0,9.35,10.0,5.0,9.75,10.0,6.0
COL LUTERANO SAN LUCAS,302.51609999999994,0.0,0.14999999999999974,4.0,5.0,10.0,10.0,6.5
COL SANTA LUISA,307.7535,2.0,8.75,10.0,6.0,9.25,10.0,6.5
GIMN MILIT FUERZA AEREA DE COLOMBIA,318.9474,0.0,7.619999999999998,10.0,6.0,10.0,10.0,6.75
COL GENERAL GUSTAVO ROJAS PINILLA,274.38190000000003,0.0,6.94,10.0,5.0,10.0,8.4,7.0
INEM FRANCISCO DE PAULA SANTANDER,269.98109999999997,0.0,7.15,10.0,6.0,10.0,10.0,6.0
CENT EDUC DIST BAS Y MEDIA O.E.A,283.45140000000004,0.0,8.75,0.0,6.0,10.0,10.0,6.5
CEDID ALFONSO LOPEZ PUMAREJO,279.4226,0.0,9.4,10.0,5.0,10.0,10.0,7.75
COL DIST CARLOS ARANGO VELEZ,278.11109999999996,0.0,9.0,0.0,6.0,10.0,10.0,7.25
CENT EDUC DIST ALQUERIA LA FRAGUA,281.3846,0.0,9.05,10.0,5.0,10.0,10.0,7.5
CENT EDUC DIST CLASS,265.6013,0.0,6.45,10.0,7.0,7.0,10.0,4.25
CENT EDUC DIST PAULO VI,265.65,0.0,8.14,8.0,7.5,9.75,10.0,6.25
COL DIST EDUC BAS Y MEDIA PROSPERO PINZON,268.5075,0.0,3.48,8.0,5.0,10.0,10.0,6.5
CENT EDUC DIST FRANCISCO DE MIRANDA,269.5929,2.0,9.34,10.0,5.0,9.5,10.0,6.25
