Nombre,Bares,Seguridad,Act Impacto, Policia, Salud, Cultura, Deporte,Total
COLEGIO JOSÉ FRANCISCO SOCARRAS (IED) - SEDE PRINCIPAL,4.5,8.69,6.0,3.5,1.5,10.0,2.5,5.241428571428571
COL CUIDADELA EDUCATIVA BOSA (INS EDUC DIST),10.0,9.690000000000001,10.0,0.0,1.25,7.6000000000000005,1.25,5.684285714285714
CENT EDUC DIST MARRUECOS Y MOLINOS,5.0,9.5,10.0,5.0,3.5,10.0,4.5,6.785714285714286
CENT EDUC DIST NUEVA COLOMBIA,6.5,2.79,10.0,1.0,7.5,9.8,3.5,5.87
CENT EDUC DIST ISMAEL PERDOMO,3.75,9.15,10.0,7.5,3.0,10.0,3.0,6.628571428571428
CENT EDUC DIST CLASS,4.5,6.45,10.0,6.0,2.0,10.0,2.25,5.885714285714286
CENT EDUC DIST VILLA ELISA,2.75,5.509999999999999,10.0,3.0,7.75,9.5,5.25,6.251428571428571
COL DIST EDUC BAS Y MEDIA ARBORIZADORA ALTA,2.0,6.7,10.0,1.0,3.25,10.0,4.0,5.278571428571429
CENT EDUC DIST FRANCISCO DE PAULA SANTANDER,0.0,5.8,2.0,3.5,1.5,10.0,2.5,3.6142857142857143
CENT EDUC DIST GRAN YOMASA,2.0,9.9,10.0,1.0,1.0,10.0,3.25,5.307142857142857
CENT EDUC DIST JUAN REY,9.5,10.0,10.0,0.0,1.5,7.550000000000001,1.25,5.685714285714285
CENT EDUC DIST DON BOSCO IV,4.75,7.85,10.0,0.0,1.0,7.800000000000001,1.75,4.735714285714287
COL ANTONIO GARCIA (INS EDUC DIST),4.5,3.65,10.0,2.0,3.25,10.0,4.0,5.3428571428571425
CENT EDUC DIST COMFENALCO NUEVA ROMA,8.0,9.8,10.0,1.0,2.5,10.0,3.75,6.435714285714285
VENTIUN ANGELES (INST EDUC DIST),9.5,7.340000000000001,10.0,0.0,6.25,5.550000000000001,3.75,6.055714285714286
