NOMBRE SEDE	sector	s11Y2016	eval_puntaje	Tipo de educación	DIRECCIÓN	Latitud	Longitud	Localidad	texto
CENT EDUC DIST ISMAEL PERDOMO	OFICIAL	178	2577191	PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS & TRADICIONAL	 CL 64 SUR 71 F 18	4.587402778	-74.16556667	CIUDAD BOLIVAR	C156
CENT EDUC DIST CLASS	OFICIAL	153	2656013	TRADICIONAL	KR 80 I 57 B 50 SUR	4.613866667	-74.17871111	KENNEDY	C157
CENT EDUC DIST VILLA ELISA	OFICIAL	143	2637483	TRADICIONAL	CL 132 C 92 A 71	4.731027778	-74.08724444	SUBA	C158
COL DIST EDUC BAS Y MEDIA ARBORIZADORA ALTA	OFICIAL	109	2594587	TRADICIONAL	KR 43 70 A 50 SUR	4.568166667	-74.15196111	CIUDAD BOLIVAR	C159
CENT EDUC DIST FRANCISCO DE PAULA SANTANDER	OFICIAL	104	2624904	TRADICIONAL	CL 61 SUR 80 I 40	4.610633333	-74.18466111	BOSA	C160
CENT EDUC DIST GRAN YOMASA	OFICIAL	69	2577826	TRADICIONAL	CL 81 C SUR 2 BIS 00 ESTE	4.508511111	-74.10985278	USME	C161
CENT EDUC DIST JUAN REY	OFICIAL	39	2575641	TRADICIONAL	CL 70 SUR 13 B 27 ESTE	4.522547222	-74.08999167	SAN CRISTOBAL	C162
CENT EDUC DIST DON BOSCO IV	OFICIAL	92	2764348	TRADICIONAL	AC 91 SUR 4 22 ESTE	4.502305556	-74.10032222	USME	C163
COL ANTONIO GARCIA (INS EDUC DIST)	OFICIAL	104	2700673	TRADICIONAL	KR 17 F 73 A 31 SUR	4.54465	-74.13959444	CIUDAD BOLIVAR	C164
CENT EDUC DIST COMFENALCO NUEVA ROMA	OFICIAL	156	2747436	TRADICIONAL	CL 48 SUR 4 A 39 ESTE	4.540938889	-74.09579167	SAN CRISTOBAL	C165
VENTIUN ANGELES (INST EDUC DIST)	OFICIAL	177	2717853	TRADICIONAL	KR 90 154 A 09	4.749091667	-74.080575	SUBA	C166
COL DIST EDUC BAS Y MEDIA ALBERTO LLERAS CAMARGO	OFICIAL	198	2729646	TRADICIONAL	KR 111 A 139 88	4.743461111	-74.10229444	SUBA	C167
INST EDUC DIST LEONARDO POSADA PEDRAZA - SEDE PRINCIPAL	OFICIAL	273	2684322	TRADICIONAL	KR 92 72 42 SUR	4.627330556	-74.20086944	BOSA	C168
INST EDUC DIST FE Y ALEGRIA SAN IGNACIO	OFICIAL	250	277188	TRADICIONAL	CL 56 F SUR 91 D 14	4.633466667	-74.18405556	BOSA	C169
COL DIST SIMON BOLIVAR	OFICIAL	139	281705	TRADICIONAL	KR 92 87 A 60	4.711158333	-74.099875	ENGATIVA	C170
CENT EDUC DIST CALASANZ (BUENAVISTA)	OFICIAL	80	2935875	TRADICIONAL	KR 17 F 77 75 SUR	4.540058333	-74.13946667	CIUDAD BOLIVAR	C171
CENT EDUC DIST EL RODEO	OFICIAL	76	2803026	TRADICIONAL	CL 40 A SUR 2 56 ESTE	4.551383333	-74.08418333	SAN CRISTOBAL	C172
COL DIST ANTONIO JOSE URIBE	OFICIAL	44	2446364	PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS & TRADICIONAL	CL 3 9 80	4.592330556	-74.08237778	SANTA FE	C173
CENT EDUC DIST ANTONIO VILLAVICENCIO	OFICIAL	69	2298841	PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS & TRADICIONAL	CL 65 A 112 A 39	4.705091667	-74.13435556	ENGATIVA	C174
COL DE EDUC BAS Y MEDIA ESTANISLAO ZULETA	OFICIAL	111	2573604	TRADICIONAL	KR 7 C ESTE 92 48 SUR	4.498130556	-74.10081111	USME	C175
CENT EDUC DIST RAFAEL URIBE URIBE	OFICIAL	129	2571008	TRADICIONAL	CL 70 SUR 18 I 20	4.547097222	-74.14891667	CIUDAD BOLIVAR	C176
CENT EDUC DIST RAMON DE ZUBIRIA	OFICIAL	170	2470412	TRADICIONAL	DG 129 B BIS 93 B 51	4.725380556	-74.09228333	SUBA	C177
CENT EDUC DIST REINO DE HOLANDA	OFICIAL	175	2473886	PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS & TRADICIONAL	TV 16 D 46 35 SUR	4.568222222	-74.11937222	RAFAEL URIBE	C178
COL VIRGINIA GUTIERREZ DE PINEDA (INS EDUC DIST)	OFICIAL	148	2602905	TRADICIONAL	CL 131 B 94 F 31	4.731030556	-74.09183611	SUBA	C179
INST EDUC DIST EL BOSQUE	OFICIAL	168	2617381	TRADICIONAL	CL 81 A SUR 6 40 ESTE IN 1	4.505888889	-74.10296111	USME	C180
CENT EDUC DIST ISLA DEL SOL	OFICIAL	53	2716226	TRADICIONAL	CL 67 B SUR 63 15	4.589380556	-74.15263889	TUNJUELITO	C181
CENT EDUC DIST LA GIRALDA	OFICIAL	84	2762143	TRADICIONAL	AC 1 3 60	4.583480556	-74.06783333	SANTA FE	C182
GERARDO MOLINA RAMIREZ (INST EDUC DIST)	OFICIAL	213	2685728	TRADICIONAL	CL 142 B 150 A 09	4.747813889	-74.11551944	SUBA	C183
INST TEC IND PILOTO	OFICIAL	288	2703299	PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS & TRADICIONAL	KR 35 51 B 87 SUR	4.58575	-74.13546111	TUNJUELITO	C184
COL DIST DE USME	OFICIAL	114	2811754	TRADICIONAL	TV 2 A 135 78 SUR	4.472611111	-74.12161389	USME	C185
CENT EDUC DIST MIRAVALLE	OFICIAL	98	2836735	TRADICIONAL	DG 76 SUR 3 B 30	4.513869444	-74.11945556	USME	C186
CENT EDUC DIST SOTAVENTO	OFICIAL	33	2830909	TRADICIONAL	CL 73 A 16 F 35 SUR	4.544275	-74.13738056	CIUDAD BOLIVAR	C187
CENT EDUC DIST SAN MARTIN DE PORRES	OFICIAL	20	231.05	TRADICIONAL	CL 45 3 35 ESTE	4.62851123	-74.05991614	CHAPINERO	C188
COL DIST TOBERIN	OFICIAL	183	2653661	TRADICIONAL	CL 166 16 C 15	4.745327778	-74.03949444	USAQUEN	C189
CENT EDUC DIST PAULO VI	OFICIAL	100	265.65	TRADICIONAL	CLL. 41 SUR 81-45	4.620966667	-74.15825556	KENNEDY	C190
COL DIST EDUC BAS Y MEDIA PROSPERO PINZON	OFICIAL	67	2685075	TRADICIONAL	CL 35 C SUR 78 F 81	4.624411111	-74.15143056	KENNEDY	C191
CENT EDUC DIST FRANCISCO DE MIRANDA	OFICIAL	113	2695929	TRADICIONAL	 DG 41 SUR 73 A 80	4.612486111	-74.15448889	KENNEDY	C192
CENT EDUC DIST PABLO NERUDA	OFICIAL	202	2677228	TRADICIONAL	CL 16 F BIS 102 70	4.672238889	-74.14953611	FONTIBON	C193
SALUDCOOP NORTE (INST EDUC DIST)	OFICIAL	152	2698158	TRADICIONAL	CL 181 18 B 83	4.757444444	-74.04043889	USAQUEN	C194
LICEO NAL MAGDALENA ORTEGA DE NARIÑO	OFICIAL	220	2804227	PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS & TRADICIONAL	KR 69 B 78 A 36	4.686744444	-74.08306667	ENGATIVA	C195
COL CARLO FEDERICI (INST EDUC DIST)	OFICIAL	171	2903684	TRADICIONAL	CL 14 A 108 78	4.671894444	-74.15946389	FONTIBON	C196
CENT EDUC DIST DE USAQUEN (ANTIGUA COLONIA ESCOLAR DE VACACI	OFICIAL	165	2823152	TRADICIONAL	CL 127 C 9 A 03	4.705825	-74.03452778	USAQUEN	C197
CENT EDUC DIST PRADO VERANIEGO II	OFICIAL	112	2782679	TRADICIONAL	KR 46 130 65	4.717366667	-74.05153056	USAQUEN	C198
CENT EDUC DIST ANTONIO JOSE DE SUCRE	OFICIAL	29	2845172	TRADICIONAL	CL 11 65 B 10	4.63425	-74.11768611	PUENTE ARANDA	C199
CENT EDUC DIST MANUEL ELKIN PATARROYO	OFICIAL	17	2813529	TRADICIONAL	CL 32 A 3 C 37	4.618094444	-74.05011389	SANTA FE	C200
