NOMBRE SEDE	sector	s11Y2016	eval_puntaje	Tipo de educación	DIRECCIÓN	Latitud	Longitud	Localidad	texto
COLEGIO AGUSTINIANO TAGASTE - SEDE PRINCIPAL	NO OFICIAL	115	3287478	TRADICIONAL	KR 88 11 A 21	4.654838889	-74.14711111	KENNEDY	C037
COL DE BTO UNIVERSIDAD LIBRE	NO OFICIAL	102	3246275	TRADICIONAL	KR 70 53 40	4.668480556	-74.10039444	ENGATIVA	C038
CENT CIAL DE EDUC MEDIA MARGARITA BOSCO	NO OFICIAL	60	3234667	TRADICIONAL	AC 63 73 A 44	4.677188889	-74.10565833	ENGATIVA	C039
COL CRISTIANO SEMILLA DE VIDA	NO OFICIAL	49	3182041	TRADICIONAL	CL 1 F 31 11	4.601086111	-74.10146389	LOS MARTIRES	C040
GIMN BILING OBREGON	NO OFICIAL	39	3148205	TRADICIONAL	CL 62 BIS SUR 67 19	4.5911	-74.157875	CIUDAD BOLIVAR	C041
COL ALFONSO JARAMILLO	NO OFICIAL	25	336.52	TRADICIONAL	KR 55 167 50	4.750713889	-74.05013611	SUBA	C042
C.E. FORMAL PARA ADULTOS LOS SAUCES - SEDE PRINCIPAL	NO OFICIAL	12	2264167	PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS	KR 88 I 51 C 15 SUR	4.631344444	-74.18249722	BOSA	C043
INST PEDAG LA REAL SOCIEDAD - SEDE PRINCIPAL	NO OFICIAL	23	2621739	TRADICIONAL	KR 12 76 A 32 SUR	4.512	-74.11446111	USME	C044
NUEVO COL LUSADI	NO OFICIAL	24	262.25	TRADICIONAL	CL 67 A BIS SUR 18 37	4.549452778	-74.14376667	CIUDAD BOLIVAR	C045
COL POPULAR BOLIVARIANO	NO OFICIAL	19	2406842	TRADICIONAL	DG 64 BIS SUR 17 B 40	4.554608333	-74.13863056	CIUDAD BOLIVAR	C046
INST INTEGRADO DE SUBA	NO OFICIAL	42	2458095	PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS	CL 139 108 64	4.742486111	-74.10035556	SUBA	C047
COL RAFAEL GOBERNA II SEDE	NO OFICIAL	37	2587297	TRADICIONAL	CL 38 C SUR 95 A 35	4.634588889	-74.15038889	KENNEDY	C048
COL SUR ORIENTAL PANAMERICANO	NO OFICIAL	64	2492969	TRADICIONAL	CL 39 A SUR 3 C 45 ESTE	4.551219444	-74.08543056	SAN CRISTOBAL	C049
LIC ARKADIA COLOMBIA	NO OFICIAL	102	2666569	TRADICIONAL	CL 142 C 138 A 60	4.748972222	-74.11341389	SUBA	C050
LIC  ANTONIO DE TOLEDO	NO OFICIAL	103	2835728	TRADICIONAL	CL 70 SUR 77 J 55	4.600280556	-74.18598056	BOSA	C051
LIC GLOBERTH MIXTO	NO OFICIAL	64	2784688	TRADICIONAL	 CL 128 88 D 02	4.721613889	-74.08868056	SUBA	C052
LIC LA CORUÑA	NO OFICIAL	37	2769459	TRADICIONAL	CL 58 C SUR 47 09	4.577483333	-74.15132778	CIUDAD BOLIVAR	C053
INST CULT RAFAEL MAYA	NO OFICIAL	43	275186	TRADICIONAL	CL 134 A 147 C 07	4.745261111	-74.11891111	SUBA	C054
LIC SIGLO XXI	NO OFICIAL	33	2742424	TRADICIONAL	KR 107 131 B 03	4.735027778	-74.10233056	SUBA	C055
COL SANTA LIBRADA	NO OFICIAL	38	2681842	TRADICIONAL	CL 76 SUR 1 A 39 ESTE	4.512861111	-74.11412222	USME	C056
LIC MIX LOS CENTAUROS	NO OFICIAL	28	2778571	TRADICIONAL	KR 100 G 62 84 SUR	4.623975	-74.19275556	BOSA	C057
INST COPESAL	NO OFICIAL	21	2840476	TRADICIONAL	CL 131 A 104 D 29	4.735394444	-74.10045	SUBA	C058
COL ARIEL DAVID	NO OFICIAL	14	275	TRADICIONAL	KR 2 A ESTE 88 16 SUR	4.505388889	-74.10945556	USME	C059
INST SANTA MARIA DE LA CRUZ	NO OFICIAL	14	3075714	TRADICIONAL	CL 68 D BIS 49 A 03 SUR	4.576697222	-74.15813333	CIUDAD BOLIVAR	C060
COL REAL DE COLOMBIA - SEDE PRINCIPAL	NO OFICIAL	43	2931395	TRADICIONAL	CL 73 107 C 12	4.710275	-74.123625	ENGATIVA	C061
COL PARROQ ADVENIAT	NO OFICIAL	51	3004118	TRADICIONAL	CL 39 A SUR 5 25 ESTE	4.551061111	-74.08364167	SAN CRISTOBAL	C062
COL MAYOR JOSE CELESTINO MUTIS	NO OFICIAL	77	2944545	TRADICIONAL	KR 11 185 B 88	4.762166667	-74.03288889	USAQUEN	C063
COL HOGAR DE NAZARETH	NO OFICIAL	92	2970978	TRADICIONAL	CL 142 114 C 11	4.746233333	-74.10546944	SUBA	C064
COL STELLA MATUTINA	NO OFICIAL	25	324.04	TRADICIONAL	KR 61 182 60	4.765775	-74.05561389	SUBA	C065
COL INGLATERRA REAL	NO OFICIAL	25	315.48	TRADICIONAL	AC 183 67 77	4.767188889	-74.05045833	SUBA	C066
GIMN COMERCIAL LOS ANDES - SEDE PRINCIPAL	NO OFICIAL	25	265.48	TRADICIONAL	CL 52 A SUR 37 05	4.586816667	-74.13967778	TUNJUELITO	C067
LIC HOMERICO	NO OFICIAL	28	2531429	TRADICIONAL	CL 133 101 27	4.736036111	-74.08487778	SUBA	C068
COL SANTA ROSA DE LIMA	NO OFICIAL	25	285	TRADICIONAL	KR 28 B 71 29	4.664375	-74.07235556	BARRIOS UNIDOS	C069
LIC MARANATA	NO OFICIAL	30	2873667	TRADICIONAL	DG 98 SUR 5 I 52 ESTE	4.492608333	-74.103725	USME	C070
INST DE EDUC ELEMENTAL PREESCOLAR Y SECUNDARIA  INELPRES	NO OFICIAL	17	3007647	TRADICIONAL	CL 61 SUR 64 37	4.591930556	-74.15510833	CIUDAD BOLIVAR	C071
INST TOMAS DE IRIARTE	NO OFICIAL	26	2988462	TRADICIONAL	KR 95 91 02	4.716361111	-74.09911944	ENGATIVA	C072
GIMNASIO MODELIA REAL - SEDE PRINCIPAL	NO OFICIAL	68	2897941	TRADICIONAL	CL 24 D 82 13	4.670525	-74.12137778	FONTIBON	C073
CENT DE INTEGRACION EDUCACION DEL NORTE (CIEN )	NO OFICIAL	69	2912464	TRADICIONAL	KR 100 A 135 A 04	4.737547222	-74.09455	SUBA	C074
COL DE LA ENSEÑANZA	NO OFICIAL	79	3344684	PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS & TRADICIONAL	AC 201 67 12	4.781683333	-74.05261389	SUBA	C075
INST ALBERTO MERANI	NO OFICIAL	40	370.85	TRADICIONAL	AK 72 181 90	4.768213889	-74.05050278	SUBA	C076
COL COOP MINUTO DE DIOS	NO OFICIAL	27	2647778	PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS & TRADICIONAL	IND TR 74 NO.82B-05	4.699477778	-74.09175556	ENGATIVA	C077
COL HARVARD	NO OFICIAL	21	2649524	PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS	CL 100 47 A 69	4.687488889	-74.06063889	BARRIOS UNIDOS	C078
