Nombre,Bares,Seguridad,Act Impacto, Policia, Salud, Cultura, Deporte, Total
INST PEDAG LA REAL SOCIEDAD - SEDE PRINCIPAL,0.5,6.87,1.0,3.5,1.0,5.5,3.0,3.052857142857143
COL SANTA LIBRADA,1.2,6.75,4.0,3.5,1.0,5.675000000000001,3.0,3.5892857142857144
COL ARIEL DAVID,3.8499999999999996,9.45,9.0,2.5,1.0,4.775,2.75,4.760714285714285
LIC MARANATA,6.6,9.86,10.0,5.0,0.75,3.0250000000000004,1.25,5.212142857142857
INST EDUC DIST JUAN LUIS  LONDOÑO,7.35,9.889999999999999,10.0,1.0,2.0,6.575,2.25,5.5807142857142855
CENT EDUC DIST NUEVA ESPERANZA,9.4,9.8,10.0,0.0,1.0,3.725,1.0,4.989285714285715
CENT EDUC DIST SANTA LIBRADA,2.15,6.99,4.0,3.5,1.0,5.65,3.0,3.755714285714286
COLEGIO FERNANDO GONZALEZ OCHOA,5.2,7.75,10.0,1.0,1.0,4.025,2.25,4.460714285714286
ORLANDO FALS BORDA (ANTES BARRANQUILLITA),5.25,5.44,3.0,5.5,1.25,6.175000000000001,2.5,4.159285714285715
CENT EDUC DIST GRAN YOMASA,2.6999999999999997,9.58,9.0,1.0,1.0,5.075000000000001,3.25,4.515000000000001
CENT EDUC DIST DON BOSCO IV,5.7,7.79,10.0,0.0,1.0,3.9000000000000004,1.75,4.305714285714286
COL DE EDUC BAS Y MEDIA ESTANISLAO ZULETA,5.5,9.71,10.0,1.0,0.75,3.4250000000000003,1.75,4.590714285714286
INST EDUC DIST EL BOSQUE,5.699999999999999,7.83,10.0,1.0,1.0,4.475,2.5,4.643571428571429
COL DIST DE USME,10.0,9.84,10.0,0.0,0.25,1.4500000000000002,0.75,4.612857142857143
CENT EDUC DIST MIRAVALLE,4.699999999999999,7.12,4.0,6.0,1.0,5.25,3.0,4.438571428571429
