IDESTABLEC,HORARIO,DIRECCI,NOMBRE_DEL,TIPO_DE_ES,BARRIO,NOMBRE_D_1,POINT_X,POINT_Y
1310165,NOCHE,KR 69  72 17,NIGHT CLASS,Wiskeria Bares y Cantinas,Ferias,Engativa,-74.08875049,4.681154695
13106,DIURNO,KR 69C  71 29,BAR DO A MARTHA (Grill bar casa gris),Venta y consumo de licores.,Estrada,Engativa,-74.09003552,4.681221098
1116181,DIA/NOCHE,CL12B  30 26 (Local),MI TRABAJO ( Punto 12),Expendio de bebidas alcoholicas,Pensilvania,Puente Aranda,-74.09305912,4.614097019
1310167,DiA/NOCHE,Ac 72  70G 06 P.2,BAR MANDARINA DE LA 68,Reservado,Bonanza,Engativa,-74.0940053,4.686457762
14239,NOCTURNO,CL 86A  13A 44 P. 2,LOS CEREZOS CLUB (Lalos Club),Expendio y consumo de licores,La cabrera,Chapinero,-74.05389977,4.670755231
14248,NOCTURNO,CL 86A  14 20 P1,EL CESAR DE LA 86 DK CHE TANGO  (Copacabana 2000),Venta y consumo de licores,La cabrera,Chapinero,-74.05429286,4.671001947
14254,SIN INFORMACI,KR 14  85 17,SIN RAZ8N SOCIAL,Amanecedero,La cabrera,Chapinero,-74.05447084,4.669938546
14249,NOCTURNO,CL 86A  14 57,SEXI EXTASIS,Venta y consumo de licores,La cabrera,Chapinero,-74.05452954,4.670663962
14242,DIA/NOCHE,KR 13  79 40,BLUE MOON  DE LA 79  R.F. (Club Start Zari),Venta y consumo de licores,Espartillal,Chapinero,-74.05573381,4.665112365
14241,NOCTURNO,CL 82  15 35,CLUB EL CEDRO,Expendio de bebidas.,Lago Gaitan,Chapinero,-74.05699825,4.667459316
14287,DIA/NOCHE,KR 16  80 43 P.2,CENTRO ESTETICO AALUM,Centro estetico,Lago Gaitan,Chapinero,-74.05755926,4.667320753
1429,DIA/NOCHE,KR 9  61 48,BAR ZAPPET (Donde peter hostal),Expendio de bebidas alcoholicas,Chapinero Central,Chapinero,-74.06133543,4.647124407
1312158,NOCHE,CL 74  20 37,OZ 74 (Platinos oz) (Condtrans),Wiskeria.,San Felipe,Barrios Unidos,-74.06193677,4.661907314
14276,DIA/NOCHE,Kr 13  68 14  P2,SALA DE MASAJES BAR SERVICIO DE ACOMPAZAMIENTO (Bar reservado Jhoana),Reservado,Quinta Camacho,Chapinero,-74.06251383,4.654238697
131272,DIA/NOCHE,KR 20C  75A 31,CENTRO ESTETICO  AQUARIO,Masaje antiestress.,San Felipe,Barrios Unidos,-74.06264578,4.664926182
1312132,DIA/NOCHE,CL 71  14A 27,NOCHES DE PASARELA (Bar pasarela la 71)  (Corporaci n),Bar,Concepcion norte,Barrios Unidos,-74.06307764,4.658391661
131271,DIA/NOCHE,CL 71  14A 20,HOSTAL LAS ESTRELLAS (chicas milenium),Servicio alojamiento hostal,Concepcion norte - Alcazares,Barrios Unidos,-74.06309083,4.658704364
14211,DIA/NOCHE,KR 13  65 29,NUEVA FIRE BLUE WISKERIA SHOW,Venta y consumo de licores,Chapinero  Norte,Chapinero,-74.06330756,4.652232795
142112,DIA/NOCHE,CL 62  13 32 P.2,GAROTAS,servicio de acompaTamiento expendio de bebidas alcoh)licas para el consumo dentro del establecimiento.,Chapinero,Chapinero,-74.06404922,4.649069053
14298,DIA/NOCHE,CL 64  13 88 P. 2 Y 3,SALOME CENTRO DE MASAJES               (Axe Man),Servicio de acompaAamiento.,Chapinero Norte,Chapinero,-74.06406037,4.651459515
1312140,SIN INFORMACION,CL 67  14A 42,ROMANOS CLUB 1 (Estudio 67),Sala de Proyecciones,La esperanza,Barrios Unidos,-74.06432772,4.654890747
142116,NOCHE,CL 61  13 63 P2,SALON EMOCIONES,Venta de bebidas.,Quinta Camacho,Chapinero,-74.06445472,4.647902324
1312161,DIA,KR 15  67 24,TANTRA SPA 67,Expendio de bebidas alcoholicas,Chapinero Occidental - 7 de Agosto,Barrios Unidos,-74.0646203,4.655129998
131279,DIA/NOCHE,KR 15  66 18,TUNA,Venta de licores,Esperanza - 7 de agosto,Barrios Unidos,-74.06484837,4.653893773
131287,DIA/NOCHE,KR 15  66 17,BAR BOHEMIOS LAS CANELAS (Taminango),Reservado,Esperanza - 7 de agosto,Barrios Unidos,-74.06511234,4.653937112
1312138,SIN INFORMACION,CL 64  14 89 P.2,CLUB RESERVADO SEXAPILL,Servico de acompaXamiento.,Chapinero,Barrios Unidos,-74.06524046,4.651827399
131392,DIA/NOCHE,CL 60  14 13,BA OS TURCOS  DE LA 60 (Ba0os turcos sayonara de la 60),Venta y consumo de licores,Chapinero,Teusaquillo,-74.06543457,4.646937958
1312134,SIN INFORMACION,CL 67  16 05,FANTASIAS 2005,Expendio de licores,Esperanza - 7 de agosto,Barrios Unidos,-74.065727,4.655357515
131247,DIA/NOCHE,CL 64  15A 19,BAR RESERVADO LO MEJOR DE LA 64 (Bar Yuli`s),Servicio de acompaEamiento,Esperanza,Barrios Unidos,-74.06595825,4.65225559
1312186,DIA/NOCHE,CL 64  15A 25,WISKERIA CLAPTON JM2,Expendio y consumo de licores,Esperanza - Chapinero,Barrios Unidos,-74.06602544,4.652304253
1312187,DIA/NOCHE,CL 64  15A 31,RESERVADO MEDIAS DE SEDA,Venta y consumo de licores,Esperanza -Chapinero,Barrios Unidos,-74.06607697,4.652324564
1312160,DIA/NOCHE,KR 17  66 52,WISKERIA BAR LA SULTANA,Servicio de masajes,Esperanza,Barrios Unidos,-74.06641006,4.655009062
1312124,DIA/NOCHE,KR 17  66 32 P. 2,BAR DISCOTECA LAS DIVAS DE JAVIER (Divas de martha),Servicio de masajes.,7 de agosto,Barrios Unidos,-74.06648581,4.65482592
14256,DIA/NOCHE,CL 49  13 70,ESTABLO EL RODEO (Mansi-n de la barbie traviesa),Wiskeria.,Marly,Chapinero,-74.06650171,4.636522586
1312182,NOCHE,KR 17  66 28,COQUETAS BAR,Venta de licores,7 de agosto,Barrios Unidos,-74.06651472,4.654778002
131283,DIA/NOCHE,KR 17  66 41,BAR A DONDE TONNYS,Servicio de masajes.,7 de agosto,Barrios Unidos,-74.06670426,4.655053631
131258,DIA/NOCHE,KR 19  67 49,FASHION CLUB 67 (Julianas),venta y consumo de licor,7 de agosto,Barrios Unidos,-74.06674442,4.656743359
131284,DIA/NOCHE,KR 17  66 31,BAR PICARDIAS MARINA,Venta de licores,7 de agosto,Barrios Unidos,-74.06675965,4.654910444
131285,DIA/NOCHE,CL 66  17 06  P2,BAR  LAS  GOLOSAS,Venta y consumo de licores.,Rafael Uribe,Barrios Unidos,-74.06683604,4.654715868
131391,DIA/NOCHE,CL 58  14A 53,QUO BADIS BA3OS TURCOS ROMANOS BAR (Cleopatra),Discoteca,Carlos lleras,Teusaquillo,-74.06700801,4.644874787
14262,DIA/NOCHE,KR 13  41 05,WISKERIA PALERMO,Venta de licores.,Sucre,Chapinero,-74.06712267,4.629123829
1312178,DIA/NOCHE,KR 21 67 42,LAS PAISAS EXTREMO,Venta de licores.,7 de agosto,Barrios Unidos,-74.06802853,4.657470569
131244,DIA/NOCHE,KR 21  67 41,BOHEMIO,Bar,7 de agosto,Barrios Unidos,-74.06817771,4.657593607
131230,DIA/NOCHE,KR 21  67 02,VIDEO BAR LA 21,Discoteca,7 de agosto,Barrios Unidos,-74.06821364,4.657184212
131242, ,KR 21  67 27,BAR LA GORGONA R.A. (Bar Tentaciones),Venta de licores,7 de agosto,Barrios Unidos,-74.06837031,4.65754164
131120,NOCTURNO,KR 101B  138 29 P1,PUNTO DE ENCUENTRO BAR SOLO  ADULTOS,Venta y consumo de licores,Costa azul,Suba,-74.09458745,4.739742778
13104,DIA/NOCHE,AV Boyaca  70 89  P2,BAR BOYACA VERGARA (Club Wiskeria MP),Expendio de bebidas,Boyaca Real,Engativa,-74.09628177,4.685640787
1116186,NOCTURNO,AC 6  30 05,GOGO GIRLS (Conrrado),Venta y consumo de licor.,Veraguas,Puente Aranda,-74.09882795,4.607181754
