OBJECTID,X,Y,Anio
12532,-74.11326179,4.576901424,2010
12534,-74.11089168,4.580177387,2010
12535,-74.10058241,4.58747016,2010
12538,-74.06094189,4.666268165,2010
12539,-74.0690314,4.602942969,2010
12540,-74.18809725,4.632446895,2010
12541,-74.13343068,4.624160626,2010
12542,-74.06978481,4.721567328,2010
12543,-74.0844486,4.757195955,2010
12544,-74.09766611,4.545037074,2010
12547,-74.09988649,4.740727142,2010
12548,-74.050686,4.688655583,2010
12549,-74.04785781,4.692323136,2010
12550,-74.11483631,4.511181549,2010
12551,-74.14873445,4.623252805,2010
12553,-74.12523051,4.713479349,2010
12554,-74.09084603,4.689664965,2010
12555,-74.08692358,4.607062463,2010
12557,-74.13262617,4.581518978,2010
12558,-74.11370851,4.697725748,2010
12559,-74.13744986,4.61912902,2010
12560,-74.16941088,4.622933268,2010
12562,-74.06602248,4.627619672,2010
12563,-74.05124605,4.672834688,2010
12565,-74.0795978,4.601090817,2010
12568,-74.05787827,4.658316918,2010
12569,-74.06854576,4.61950666,2010
12570,-74.09500536,4.6342581,2010
12571,-74.0805924,4.666751202,2010
12573,-74.07387426,4.641822772,2010
12574,-74.13805719,4.624403819,2010
12577,-74.07653298,4.600251821,2010
12578,-74.09877077,4.58805647,2010
12579,-74.20559492,4.618378668,2010
12581,-74.06821989,4.603187815,2010
12582,-74.03343237,4.694067868,2010
12585,-74.12754727,4.667528614,2010
12587,-74.12250419,4.670813344,2010
12588,-74.14048994,4.546707703,2010
12590,-74.14440218,4.617662889,2010
12591,-74.1534617,4.566332755,2010
12592,-74.08311288,4.60681878,2010
12594,-74.08487412,4.607749267,2010
12596,-74.10924112,4.598901229,2010
12601,-74.07915112,4.589159749,2010
12602,-74.17691045,4.614805511,2010
12604,-74.07166522,4.756685761,2010
12605,-74.10702478,4.614955213,2010
12607,-74.02506066,4.753155127,2010
12608,-74.07052183,4.712327025,2010
12609,-74.13146463,4.659856237,2010
12610,-74.08417605,4.666831727,2010
12611,-74.12665728,4.713784586,2010
12612,-74.06534223,4.614990975,2010
12615,-74.07309113,4.594289345,2010
12616,-74.09073151,4.602852338,2010
12617,-74.06280725,4.691481952,2010
12619,-74.16118379,4.568522265,2010
12621,-74.08958963,4.676479803,2010
12622,-74.09342191,4.584496905,2010
12623,-74.09755372,4.701472953,2010
12626,-74.08446572,4.741703075,2010
12627,-74.10812309,4.721148188,2010
12629,-74.0672929,4.625964042,2010
12630,-74.080227,4.602682367,2010
12631,-74.13319075,4.664541327,2010
12632,-74.04426457,4.733808758,2010
12633,-74.07580803,4.597360045,2010
12634,-74.07455695,4.590753841,2010
12635,-74.10246059,4.588629984,2010
12636,-74.16655607,4.602661625,2010
12638,-74.1058117,4.680443589,2010
12640,-74.15539014,4.627416435,2010
12641,-74.12146178,4.641856281,2010
12642,-74.09234059,4.608214364,2010
12643,-74.0557281,4.746075247,2010
12644,-74.06901035,4.747562722,2010
12645,-74.08779828,4.584584283,2010
12646,-74.09183697,4.599171904,2010
12647,-74.06634708,4.638397704,2010
12649,-74.02264885,4.741219048,2010
12650,-74.05685352,4.656147973,2010
12654,-74.0375985,4.719913222,2010
12656,-74.04488599,4.722987921,2010
12657,-74.03755007,4.686014201,2010
12658,-74.03431247,4.731586583,2010
12660,-74.15667279,4.588818456,2010
12661,-74.12505208,4.562574131,2010
12664,-74.06756822,4.644486205,2010
12665,-74.06501041,4.628118889,2010
12666,-74.07131035,4.66639141,2010
12667,-74.10616136,4.55692399,2010
12669,-74.07039732,4.609064445,2010
12670,-74.07039732,4.609064445,2010
12671,-74.06752818,4.612112077,2010
12672,-74.05764823,4.749786816,2010
12674,-74.04287919,4.704402065,2010
12676,-74.15453164,4.682213183,2010
12677,-74.1941926,4.623314181,2010
12680,-74.16985928,4.619660548,2010
12682,-74.12662072,4.682396454,2010
12683,-74.10711369,4.701389501,2010
12684,-74.10628848,4.573448326,2010
12687,-74.07202236,4.61736418,2010
12688,-74.08588296,4.655378996,2010
12689,-74.07550556,4.625425839,2010
12690,-74.04678794,4.746511093,2010
12691,-74.06179569,4.68605494,2010
12692,-74.11420609,4.697882647,2010
12693,-74.06965353,4.601828677,2010
12695,-74.12347644,4.751552941,2010
12696,-74.05511919,4.642202863,2010
12697,-74.163593,4.569463062,2010
12698,-74.09510287,4.56217031,2010
12701,-74.10350116,4.582664528,2010
12702,-74.06580269,4.647299087,2010
12703,-74.07449257,4.641977018,2010
12704,-74.05079002,4.732227156,2010
12705,-74.11825205,4.710535036,2010
12707,-74.08589422,4.612905641,2010
12708,-74.07785643,4.652115913,2010
12710,-74.07441602,4.607473198,2010
12712,-74.03384343,4.760301143,2010
12713,-74.10122581,4.692895814,2010
12714,-74.07785882,4.677274534,2010
12715,-74.12034478,4.661142552,2010
12717,-74.08756561,4.585304701,2010
12721,-74.15360088,4.578792334,2010
12722,-74.11536142,4.651654018,2010
12723,-74.1870836,4.622762721,2010
12724,-74.13928421,4.631002783,2010
12726,-74.0851951,4.740331078,2010
12728,-74.06332415,4.636645446,2010
12730,-74.09434482,4.710019088,2010
12731,-74.14825952,4.564562302,2010
12732,-74.08796391,4.618229312,2010
12733,-74.07236779,4.595192047,2010
12734,-74.12697435,4.666785488,2010
12735,-74.04878661,4.655152175,2010
12736,-74.11420609,4.697882647,2010
12737,-74.06330765,4.63121393,2010
12738,-74.12026522,4.599801548,2010
12739,-74.06697872,4.627739604,2010
12741,-74.03206058,4.727867459,2010
12742,-74.19389025,4.608214991,2010
12744,-74.02216198,4.76334088,2010
12745,-74.08147339,4.594089895,2010
12746,-74.15666161,4.574155055,2010
12750,-74.09984101,4.583171293,2010
12751,-74.11367667,4.561235179,2010
12753,-74.06454291,4.636082917,2010
12754,-74.08092356,4.585967479,2010
12756,-74.09108284,4.742817923,2010
12757,-74.15126984,4.672134687,2010
12758,-74.16257995,4.689085106,2010
12759,-74.07548235,4.627857122,2010
12761,-74.07993208,4.66056943,2010
12762,-74.05512688,4.687854282,2010
12763,-74.08986711,4.603277136,2010
12764,-74.08355945,4.676810173,2010
12765,-74.07059007,4.612651325,2010
12767,-74.11149016,4.654656304,2010
12768,-74.15142731,4.545455113,2010
12769,-74.11699351,4.575139236,2010
12770,-74.12891003,4.622343087,2010
12772,-74.06881786,4.600732748,2010
12774,-74.06884107,4.658543975,2010
12776,-74.0557848,4.688500448,2010
12778,-74.04500843,4.757992918,2010
12779,-74.11651456,4.708353584,2010
12780,-74.06673723,4.693544132,2010
12781,-74.09820641,4.590672708,2010
12782,-74.17945472,4.598082057,2010
12783,-74.1969762,4.601317983,2010
12784,-74.06700316,4.645069829,2010
12786,-74.14936449,4.617788896,2010
12788,-74.06782944,4.601832703,2010
12789,-74.06782944,4.601832703,2010
12791,-74.18914456,4.608434519,2010
12792,-74.14200259,4.637755228,2010
12793,-74.08644632,4.594988091,2010
12795,-74.05821749,4.707761353,2010
12796,-74.08418708,4.597226838,2010
12797,-74.10416781,4.591464325,2010
12798,-74.09233831,4.576784273,2010
12799,-74.13106298,4.621197599,2010
12801,-74.15688372,4.600648442,2010
12802,-74.07618596,4.64059462,2010
12803,-74.06396754,4.626278519,2010
12804,-74.12862704,4.578358903,2010
12806,-74.06340826,4.753692572,2010
12807,-74.06778933,4.60617377,2010
12808,-74.03506026,4.70952739,2010
12809,-74.04777549,4.685708513,2010
12810,-74.04868194,4.683143322,2010
12812,-74.03741039,4.757900548,2010
12813,-74.14028093,4.637846533,2010
12814,-74.06965255,4.659168529,2010
12815,-74.06863735,4.698701962,2010
12816,-74.1654741,4.647692548,2010
12817,-74.10256211,4.743220991,2010
12819,-74.15802293,4.627641693,2010
12820,-74.16589402,4.621187533,2010
12821,-74.07914547,4.634715662,2010
12823,-74.15678078,4.619855569,2010
12824,-74.0497577,4.685803187,2010
12825,-74.05111716,4.664588246,2010
12826,-74.10830429,4.564053394,2010
12828,-74.11486011,4.555520834,2010
12830,-74.1003732,4.712222529,2010
