Nombre,Bares,Seguridad,Act Impacto, Policia, Salud, Cultura, Deporte, Total
COL COLOMBO BRIGHTON - SEDE PRINCIPAL,8.6,7.68,10.0,0.0,6.25,2.475,6.0,5.857857142857143
GIMN NUEVO SUBA,1.7,2.14,10.0,5.0,6.5,4.0,3.25,4.655714285714287
COL ALFONSO JARAMILLO,6.35,6.22,9.0,1.0,6.5,1.7750000000000001,5.75,5.227857142857142
INST INTEGRADO DE SUBA,1.8999999999999995,2.26,5.0,1.0,6.0,3.9250000000000003,3.75,3.4050000000000002
LIC ARKADIA COLOMBIA,5.3,5.640000000000001,9.0,1.0,3.25,2.5,2.5,4.17
LIC GLOBERTH MIXTO,3.9,0.0,7.0,3.5,9.0,4.85,5.5,4.821428571428571
INST CULT RAFAEL MAYA,3.8499999999999996,3.56,8.0,0.0,3.25,2.625,2.5,3.3978571428571427
LIC SIGLO XXI,4.9,3.7600000000000007,8.0,1.0,6.0,4.475,4.25,4.626428571428571
INST COPESAL,4.1,3.3599999999999994,6.0,2.5,6.0,4.65,4.25,4.408571428571428
COL HOGAR DE NAZARETH,3.45,5.25,8.0,3.5,5.0,3.2,3.5,4.557142857142857
COL STELLA MATUTINA,9.7,9.75,10.0,0.0,5.0,1.125,7.5,6.153571428571429
COL INGLATERRA REAL,8.8,9.31,10.0,0.0,4.25,0.95,8.25,5.937142857142858
LIC HOMERICO,1.6999999999999997,3.3,10.0,2.5,7.0,4.4,4.75,4.807142857142857
CENT DE INTEGRACION EDUCACION DEL NORTE (CIEN ),1.5999999999999996,0.0,4.0,1.0,6.5,4.775,4.5,3.1964285714285716
COL DE LA ENSEÑANZA,10.0,10.0,10.0,0.0,2.5,0.5750000000000001,8.5,5.939285714285715
INST ALBERTO MERANI,8.9,9.5,10.0,0.0,4.0,0.925,8.5,5.975
INST MILIT AQUILEO PARRA,10.0,9.58,10.0,0.0,5.5,1.625,6.75,6.207857142857143
COL SANTIAGO MAYOR,10.0,9.85,10.0,0.0,4.75,1.475,7.25,6.189285714285715
COL SAN SIMON,6.699999999999999,7.52,10.0,1.0,6.25,1.725,6.0,5.599285714285714
COL EMILIO VALENZUELA - SEDE PRINCIPAL,9.9,9.86,10.0,0.0,5.0,1.2000000000000002,7.5,6.208571428571429
COL HIJAS DE CRISTO REY,6.85,7.88,10.0,1.0,8.25,2.5500000000000003,5.0,5.932857142857143
LIC LA SABANA,9.4,8.84,10.0,0.0,6.25,1.85,5.75,6.012857142857143
COL LISA MEITNER,9.7,9.89,10.0,0.0,4.25,2.0250000000000004,4.25,5.730714285714286
CENT EDUC DIST SIMON BOLIVAR,2.1,2.3199999999999994,10.0,5.0,6.75,3.8000000000000003,3.5,4.781428571428571
CENT EDUC DIST ALVARO GOMEZ HURTADO,3.1999999999999993,0.0,8.0,4.5,7.25,5.175000000000001,3.75,4.553571428571429
CENT EDUC DIST NUEVA COLOMBIA,5.65,2.1799999999999997,9.0,1.0,7.5,4.9,3.5,4.8185714285714285
CENT EDUC DIST VILLA ELISA,1.1999999999999993,4.359999999999999,8.0,3.0,7.75,4.75,5.25,4.901428571428572
VENTIUN ANGELES (INST EDUC DIST),8.65,6.7700000000000005,10.0,0.0,6.25,2.7750000000000004,3.75,5.456428571428572
COL DIST EDUC BAS Y MEDIA ALBERTO LLERAS CAMARGO,2.6999999999999993,0.30999999999999983,5.0,2.5,6.0,3.7250000000000005,4.0,3.462142857142857
CENT EDUC DIST RAMON DE ZUBIRIA,0.34999999999999964,0.0,6.0,5.0,8.0,5.325,3.75,4.060714285714286
COL VIRGINIA GUTIERREZ DE PINEDA (INS EDUC DIST),0.8499999999999996,0.09999999999999942,8.0,4.5,7.5,5.05,4.5,4.357142857142857
GERARDO MOLINA RAMIREZ (INST EDUC DIST),4.4,1.4299999999999997,9.0,1.0,3.25,2.625,2.5,3.4578571428571427
