Nombre,Bares,Seguridad,Act Impacto, Policia, Salud, Cultura, Deporte,Total
COL DEL SANTISIMO ROSARIO,300.3182,0.5,0.0,10.0,6.0,10.0,10.0,6.75,6.178571428571429
COL CATOLICO DE LA SABANA,305.07140000000004,8.5,9.13,10.0,3.5,7.25,7.7,3.0,7.0114285714285725
INST PEDAG PARA EL DESARROLLO INTEGRAL CREAR,312.0,4.25,8.45,10.0,2.5,10.0,8.25,7.75,7.314285714285715
COL ADVENTISTA EMMANUEL,304.1563,0.0,4.13,10.0,3.5,9.25,10.0,8.5,6.482857142857142
INST SUP COOPERATIVO,290.4,3.0,6.85,10.0,1.0,10.0,9.15,8.75,6.964285714285714
COL TOMAS ALVA EDISON,297.24490000000003,8.5,9.95,10.0,1.0,3.25,6.1,2.0,5.828571428571429
ESC NORMAL SUPERIOR NSTRA SRA DE LA PAZ,294.9138,5.25,8.62,6.0,3.0,8.25,10.0,8.5,7.088571428571428
COL MARIA INMACULADA,307.4262,8.0,4.790000000000001,10.0,3.5,6.0,2.35,4.75,5.627142857142857
GIMN NUEVO SUBA,291.5696,0.0,2.64,10.0,5.0,6.5,8.0,3.25,5.055714285714286
COL NSTRA SRA DE NAZARETH,293.033,0.0,3.0,6.0,3.0,1.5,10.0,2.75,3.75
COLEGIO SANTO DOMINGO BILINGÜE,302.6176,2.75,9.3,8.0,0.0,6.25,10.0,4.75,5.864285714285714
COL CAFAM,310.6316,9.5,7.040000000000001,10.0,0.0,10.0,6.5,10.0,7.577142857142857
FUND INST TECNOLOGICO DEL SUR,291.7324,2.0,4.2,10.0,3.0,5.5,10.0,6.75,5.921428571428572
COLEGIO AGUSTINIANO TAGASTE - SEDE PRINCIPAL,328.7478,10.0,9.9,10.0,0.0,7.25,5.75,3.0,6.557142857142857
COL DE BTO UNIVERSIDAD LIBRE,324.6275,5.5,9.0,10.0,2.0,10.0,6.65,10.0,7.5928571428571425
CENT CIAL DE EDUC MEDIA MARGARITA BOSCO,323.46670000000006,5.5,8.2,8.0,2.0,10.0,7.6000000000000005,10.0,7.328571428571429
COL CRISTIANO SEMILLA DE VIDA,318.2041,1.0,5.73,10.0,5.5,10.0,10.0,8.5,7.247142857142857
GIMN BILING OBREGON,314.8205,9.0,9.38,10.0,1.0,3.25,10.0,3.75,6.625714285714286
COL ALFONSO JARAMILLO,336.52,8.5,6.96,10.0,1.0,6.5,3.5500000000000003,5.75,6.0371428571428565
INST PEDAG LA REAL SOCIEDAD - SEDE PRINCIPAL,262.17390000000006,0.0,7.05,2.0,3.5,1.0,10.0,3.0,3.792857142857143
NUEVO COL LUSADI,262.25,6.5,0.0,10.0,2.0,3.25,10.0,3.5,5.035714285714286
COL POPULAR BOLIVARIANO,240.6842,2.5,8.780000000000001,10.0,1.0,3.25,10.0,5.25,5.825714285714286
COL RAFAEL GOBERNA II SEDE,258.7297,7.5,4.890000000000001,8.0,0.0,7.25,10.0,4.0,5.948571428571428
COL SUR ORIENTAL PANAMERICANO,249.2969,5.5,3.55,10.0,1.0,4.0,10.0,3.0,5.292857142857143
LIC ARKADIA COLOMBIA,266.65690000000006,7.0,6.4,10.0,1.0,3.25,5.0,2.5,5.021428571428571
LIC  ANTONIO DE TOLEDO,283.57280000000003,6.5,6.390000000000001,10.0,8.5,1.5,10.0,2.75,6.5200000000000005
LIC GLOBERTH MIXTO,278.4688,2.0,0.0,8.0,3.5,9.0,9.7,5.5,5.385714285714286
LIC LA CORUÑA,276.94590000000005,6.5,6.46,10.0,0.0,3.0,10.0,4.5,5.78
INST CULT RAFAEL MAYA,275.186,3.25,4.23,8.0,0.0,3.25,5.25,2.5,3.782857142857143
LIC SIGLO XXI,274.2424,4.5,4.590000000000001,10.0,1.0,6.0,8.95,4.25,5.612857142857143
COL SANTA LIBRADA,268.18420000000003,0.0,6.890000000000001,6.0,3.5,1.0,10.0,3.0,4.341428571428572
LIC MIX LOS CENTAUROS,277.8571,3.5,5.85,6.0,3.5,1.5,10.0,2.5,4.692857142857143
INST COPESAL,284.0476,4.0,4.33,10.0,2.5,6.0,9.3,4.25,5.768571428571428
COL ARIEL DAVID,275.0,5.25,9.7,10.0,2.5,1.0,9.55,2.75,5.821428571428571
INST SANTA MARIA DE LA CRUZ,307.57140000000004,0.75,6.790000000000001,10.0,1.0,3.0,10.0,4.0,5.077142857142857
COL REAL DE COLOMBIA - SEDE PRINCIPAL,293.1395,6.0,7.340000000000001,10.0,2.0,7.5,8.850000000000001,3.0,6.384285714285715
COL PARROQ ADVENIAT,300.41179999999997,5.0,7.65,10.0,1.0,4.0,10.0,3.0,5.807142857142857
COL MAYOR JOSE CELESTINO MUTIS,294.4545,3.5,7.05,10.0,2.0,4.0,2.1500000000000004,6.25,4.992857142857143
COL HOGAR DE NAZARETH,297.0978,5.5,6.140000000000001,8.0,3.5,5.0,6.4,3.5,5.434285714285714
COL STELLA MATUTINA,324.04,10.0,9.9,10.0,0.0,5.0,2.25,7.5,6.378571428571428
COL INGLATERRA REAL,315.48,9.0,9.530000000000001,10.0,0.0,4.25,1.9,8.25,6.132857142857143
GIMN COMERCIAL LOS ANDES - SEDE PRINCIPAL,265.48,0.0,6.640000000000001,10.0,3.5,5.25,10.0,6.25,5.948571428571428
LIC HOMERICO,253.1429,0.0,4.22,10.0,2.5,7.0,8.8,4.75,5.324285714285714
COL SANTA ROSA DE LIMA,285.0,6.0,8.330000000000002,4.0,3.0,10.0,5.8500000000000005,10.0,6.74
LIC MARANATA,287.36670000000004,5.75,9.95,10.0,5.0,0.75,6.050000000000001,1.25,5.535714285714286
INST DE EDUC ELEMENTAL PREESCOLAR Y SECUNDARIA  INELPRES,300.7647,7.25,9.290000000000001,10.0,0.0,3.75,10.0,4.25,6.362857142857143
INST TOMAS DE IRIARTE,298.84620000000007,5.25,4.95,10.0,3.5,9.75,9.450000000000001,4.75,6.807142857142858
GIMNASIO MODELIA REAL - SEDE PRINCIPAL,289.79409999999996,0.0,6.99,10.0,1.0,10.0,5.45,6.75,5.741428571428572
CENT DE INTEGRACION EDUCACION DEL NORTE (CIEN ),291.24640000000005,0.5,0.5799999999999998,4.0,1.0,6.5,9.55,4.5,3.8042857142857147
INST ALBERTO MERANI,370.85,9.0,9.65,10.0,0.0,4.0,1.85,8.5,6.142857142857143
COL JAIME QUIJANO CABALLERO,281.83779999999996,0.75,5.48,2.0,2.0,6.0,10.0,4.25,4.354285714285714
INST MILIT AQUILEO PARRA,278.41459999999995,10.0,9.8,10.0,0.0,5.5,3.25,6.75,6.471428571428571
LIC PSICOPEDAG TIBABITA,273.6176,10.0,10.0,10.0,1.0,3.0,1.55,5.5,5.864285714285714
COL SANTIAGO MAYOR,274.1429,10.0,9.95,10.0,0.0,4.75,2.95,7.25,6.4142857142857155
COL SAN SIMON,306.66670000000005,8.0,8.49,10.0,1.0,6.25,3.45,6.0,6.170000000000001
LIC FORMACION EDUC PERSONALIZADA,291.34620000000007,9.0,7.49,10.0,1.0,10.0,4.75,10.0,7.4628571428571435
INSTITUTO COMERCIAL LORETO - SEDE PRINCIPAL,293.1299,7.25,9.35,10.0,1.0,4.75,10.0,4.0,6.621428571428572
COL LUTERANO SAN LUCAS,302.51609999999994,0.75,0.14999999999999974,4.0,1.0,7.0,10.0,4.5,3.914285714285714
COL SANTA LUISA,307.7535,8.0,8.75,10.0,2.5,4.25,10.0,4.5,6.857142857142857
COL EL MINUTO DE DIOS,317.16,0.0,8.65,10.0,1.0,10.0,8.4,9.75,6.828571428571428
COL DE LA PRESENTACION SANS FACON,328.8586,7.0,9.15,10.0,3.0,6.25,2.5,6.0,6.271428571428571
LIC  DE CERVANTES PADRES AGUSTINOS,357.0,9.5,8.59,10.0,0.0,7.5,3.3500000000000005,5.25,6.312857142857143
COL EMILIO VALENZUELA - SEDE PRINCIPAL,321.1184,10.0,9.95,10.0,0.0,5.0,2.4000000000000004,7.5,6.4071428571428575
COL HIJAS DE CRISTO REY,338.9367,7.5,8.34,10.0,1.0,8.25,5.1000000000000005,5.0,6.455714285714286
GIMN MILIT FUERZA AEREA DE COLOMBIA,318.9474,0.0,7.619999999999998,10.0,2.5,7.5,10.0,4.75,6.0528571428571425
COL RR OBLATAS AL DIVINO AMOR,315.7302,3.5,6.85,10.0,2.0,10.0,6.6000000000000005,10.0,6.992857142857143
COL PROVINMA,317.95829999999995,9.5,8.14,10.0,0.0,9.75,2.2,3.5,6.155714285714287
LIC LA SABANA,320.84620000000007,10.0,9.25,10.0,0.0,6.25,3.7,5.75,6.421428571428572
COL LISA MEITNER,317.09090000000003,10.0,10.0,10.0,0.0,4.25,4.050000000000001,4.25,6.078571428571428
CENT EDUC NAL PILOTO BAVARIA,256.83209999999997,5.5,3.85,10.0,3.5,7.0,2.7,4.5,5.292857142857144
COL DIST TOMAS CARRASQUILLA,266.8045,3.0,5.43,6.0,3.5,10.0,6.550000000000001,10.0,6.354285714285715
CENT EDUC DIST ALVARO GOMEZ HURTADO,261.36199999999997,6.0,0.34999999999999987,10.0,4.5,7.25,10.0,3.75,5.978571428571429
CENT EDUC DIST ANTONIO VAN UDEN,260.0,10.0,9.190000000000001,10.0,1.0,2.0,3.8500000000000005,2.5,5.505714285714285
CENT EDUC DIST RUFINO JOSE CUERVO,265.873,8.0,8.95,8.0,2.0,4.25,10.0,4.75,6.564285714285715
CENT EDUC DIST FLORENTINO GONZALEZ,259.9296,6.5,9.55,10.0,5.5,7.0,10.0,6.0,7.792857142857143
COL MARIA CANO (NIS EDUC DIST),265.16790000000003,0.0,7.4,0.0,3.0,8.0,10.0,10.0,5.485714285714286
CENT EDUC DIST ANTONIO BARAYA,267.4868,0.0,0.0,0.0,6.0,8.25,10.0,9.75,4.857142857142857
COL DIST REP DE PANAMA,257.8571,2.75,0.03999999999999982,10.0,3.5,10.0,6.15,10.0,6.062857142857142
CENT EDUC DIST GUILLERMO LEON VALENCIA,272.41940000000005,2.5,6.65,6.0,2.5,10.0,10.0,7.0,6.378571428571428
CENT EDUC DIST REP DE VENEZUELA,270.59569999999997,5.0,0.0,0.0,4.5,10.0,10.0,9.0,5.5
CENT EDUC DIST QUIROGA ALIANZA,272.2879,9.5,5.88,10.0,1.0,7.0,10.0,7.0,7.197142857142857
CENT EDUC DIST EDUARDO SANTOS,274.8627,10.0,6.590000000000001,4.0,3.0,10.0,10.0,8.25,7.405714285714287
COL DIST MARIANO OSPINA PEREZ,272.3171,6.0,8.790000000000001,8.0,2.0,10.0,7.050000000000001,10.0,7.405714285714287
CENT EDUC DIST RODRIGO ARENAS BETANCOURT,270.41220000000004,10.0,4.340000000000001,0.0,3.5,6.5,5.95,2.0,4.612857142857143
CENT EDUC DIST ALEJANDRO OBREGON,271.57140000000004,6.0,7.5,6.0,1.0,7.0,10.0,8.5,6.571428571428571
COL DIST BENJAMIN HERRERA,273.58900000000006,3.75,9.0,8.0,5.0,8.25,10.0,6.5,7.214285714285714
CENT EDUC DIST EL JAZMIN,269.8054,9.0,7.45,10.0,0.0,9.25,10.0,7.5,7.6000000000000005
COL GENERAL GUSTAVO ROJAS PINILLA,274.38190000000003,6.0,6.94,10.0,0.0,9.25,6.4,5.0,6.227142857142857
COL DIST U.B. CIUDAD DE BOGOTA,268.3897,6.0,4.390000000000001,10.0,1.0,4.5,10.0,5.5,5.912857142857143
INEM FRANCISCO DE PAULA SANTANDER,269.98109999999997,6.5,7.15,10.0,3.5,5.75,10.0,4.0,6.7
COLEGIO RODOLFO LLINAS IED - SEDE PRINCIPAL,298.0203,9.5,9.7,10.0,2.0,8.0,8.200000000000001,3.75,7.307142857142858
CENT EDUC DIST BAS Y MEDIA O.E.A,283.45140000000004,0.0,8.75,0.0,3.5,8.0,10.0,4.5,4.964285714285714
CEDID ALFONSO LOPEZ PUMAREJO,279.4226,0.75,9.4,10.0,2.0,6.5,10.0,5.75,6.3428571428571425
COL DIST EDUC BAS Y MEDIA ATANASIO GIRARDOT,280.7262,8.5,8.0,8.0,3.0,9.0,10.0,8.25,7.821428571428571
COL DIST CARLOS ARANGO VELEZ,278.11109999999996,0.0,9.0,0.0,3.5,8.0,10.0,5.25,5.107142857142857
CENT EDUC DIST MANUELA AYALA DE GAITAN,281.4968,0.0,6.38,4.0,3.5,10.0,8.3,7.75,5.704285714285715
COL DIST HELADIA MEJIA HIJOS DE EDUCADORES,279.7069,0.0,5.769999999999999,0.0,4.0,10.0,6.15,10.0,5.131428571428572
COL DIST LUIS CARLOS GALAN SARMIENTO,296.7119,9.5,7.44,10.0,1.0,9.0,9.95,5.75,7.5200000000000005
COL DIST RAFAEL BERNAL JIMENEZ,278.9506,7.0,1.6999999999999997,10.0,2.0,10.0,5.950000000000001,10.0,6.664285714285714
INST EDUC DIST JUAN LUIS  LONDOÑO,277.5294,7.5,9.95,10.0,1.0,2.0,10.0,2.25,6.1000000000000005
CENT EDUC DIST REP FEDERAL DE ALEMANIA,281.5357,2.75,6.969999999999999,6.0,2.0,6.0,10.0,5.5,5.602857142857142
CENT EDUC DIST ALQUERIA LA FRAGUA,281.3846,2.25,9.05,10.0,2.0,6.75,10.0,5.5,6.507142857142857
CENT EDUC DIST NUEVA ESPERANZA,238.1379,9.0,9.790000000000001,10.0,0.0,1.0,7.45,1.0,5.4628571428571435
CENT EDUC DIST SANTA LIBRADA,255.6567,0.0,7.15,6.0,3.5,1.0,10.0,3.0,4.378571428571428
COLEGIO FERNANDO GONZALEZ OCHOA,253.7766,4.0,7.85,10.0,1.0,1.0,8.05,2.25,4.878571428571429
CENT EDUC DIST MANUELA BELTRAN,254.05209999999997,0.75,6.99,10.0,2.0,3.0,10.0,4.25,5.284285714285715
ORLANDO FALS BORDA (ANTES BARRANQUILLITA),254.0093,4.5,5.65,4.0,5.5,1.25,10.0,2.5,4.771428571428571
CENT EDUC DIST NUEVA CONSTITUCION,253.35250000000002,5.0,7.2,10.0,1.0,8.0,8.850000000000001,3.0,6.1499999999999995
CENT EDUC DIST ALTAMIRA SUR ORIENTAL,242.96120000000002,2.25,9.73,10.0,3.0,2.75,10.0,2.5,5.747142857142857
COL DIST TOMAS RUEDA VARGAS,253.57229999999998,6.5,7.35,10.0,4.0,6.5,10.0,5.5,7.121428571428572
COLEGIO JOSÉ FRANCISCO SOCARRAS (IED) - SEDE PRINCIPAL,256.0107,4.5,8.69,6.0,3.5,1.5,10.0,2.5,5.241428571428571
COL CUIDADELA EDUCATIVA BOSA (INS EDUC DIST),265.89559999999994,10.0,9.690000000000001,10.0,0.0,1.25,7.6000000000000005,1.25,5.684285714285714
CENT EDUC DIST NUEVA COLOMBIA,263.8174,6.5,2.79,10.0,1.0,7.5,9.8,3.5,5.87
CENT EDUC DIST CLASS,265.6013,4.5,6.45,10.0,6.0,2.0,10.0,2.25,5.885714285714286
CENT EDUC DIST VILLA ELISA,263.7483,2.75,5.509999999999999,10.0,3.0,7.75,9.5,5.25,6.251428571428571
COL DIST EDUC BAS Y MEDIA ARBORIZADORA ALTA,259.4587,2.0,6.7,10.0,1.0,3.25,10.0,4.0,5.278571428571429
CENT EDUC DIST FRANCISCO DE PAULA SANTANDER,262.4904,0.0,5.8,2.0,3.5,1.5,10.0,2.5,3.6142857142857143
CENT EDUC DIST GRAN YOMASA,257.7826,2.0,9.9,10.0,1.0,1.0,10.0,3.25,5.307142857142857
CENT EDUC DIST JUAN REY,257.5641,9.5,10.0,10.0,0.0,1.5,7.550000000000001,1.25,5.685714285714285
CENT EDUC DIST DON BOSCO IV,276.4348,4.75,7.85,10.0,0.0,1.0,7.800000000000001,1.75,4.735714285714287
COL ANTONIO GARCIA (INS EDUC DIST),270.0673,4.5,3.65,10.0,2.0,3.25,10.0,4.0,5.3428571428571425
CENT EDUC DIST COMFENALCO NUEVA ROMA,274.74359999999996,8.0,9.8,10.0,1.0,2.5,10.0,3.75,6.435714285714285
VENTIUN ANGELES (INST EDUC DIST),271.7853,9.5,7.340000000000001,10.0,0.0,6.25,5.550000000000001,3.75,6.055714285714286
COL DIST EDUC BAS Y MEDIA ALBERTO LLERAS CAMARGO,272.96459999999996,4.75,1.3499999999999999,8.0,2.5,6.0,7.450000000000001,4.0,4.864285714285715
INST EDUC DIST LEONARDO POSADA PEDRAZA - SEDE PRINCIPAL,268.4322,8.0,9.4,10.0,0.0,0.75,8.5,2.25,5.557142857142857
INST EDUC DIST FE Y ALEGRIA SAN IGNACIO,277.188,8.5,6.9,10.0,1.0,1.75,10.0,1.5,5.664285714285714
COL DIST SIMON BOLIVAR,281.70500000000004,2.0,8.1,8.0,2.0,10.0,9.5,5.25,6.4071428571428575
CENT EDUC DIST CALASANZ (BUENAVISTA),293.5875,4.5,3.44,10.0,1.0,2.5,10.0,2.25,4.812857142857142
CENT EDUC DIST EL RODEO,280.3026,4.5,7.65,10.0,1.0,4.0,10.0,3.0,5.735714285714286
COL DE EDUC BAS Y MEDIA ESTANISLAO ZULETA,257.3604,3.0,9.75,10.0,1.0,0.75,6.8500000000000005,1.75,4.728571428571429
CENT EDUC DIST RAFAEL URIBE URIBE,257.1008,0.0,9.2,10.0,5.0,3.25,10.0,2.75,5.742857142857143
CENT EDUC DIST RAMON DE ZUBIRIA,247.04120000000003,0.0,0.0,6.0,5.0,8.0,10.0,3.75,4.678571428571429
COL VIRGINIA GUTIERREZ DE PINEDA (INS EDUC DIST),260.29049999999995,0.5,1.2299999999999995,10.0,4.5,7.5,10.0,4.5,5.461428571428572
INST EDUC DIST EL BOSQUE,261.73810000000003,6.0,7.95,10.0,1.0,1.0,8.95,2.5,5.3428571428571425
CENT EDUC DIST ISLA DEL SOL,271.6226,7.25,9.540000000000001,10.0,0.0,3.75,10.0,3.75,6.327142857142857
CENT EDUC DIST LA GIRALDA,276.2143,6.5,7.7,10.0,4.5,7.25,10.0,4.0,7.135714285714286
GERARDO MOLINA RAMIREZ (INST EDUC DIST),268.57280000000003,5.0,2.27,10.0,1.0,3.25,5.25,2.5,4.1814285714285715
COL DIST DE USME,281.17539999999997,10.0,9.84,10.0,0.0,0.25,2.9000000000000004,0.75,4.82
CENT EDUC DIST MIRAVALLE,283.6735,5.0,7.3,6.0,6.0,1.0,10.0,3.0,5.471428571428571
CENT EDUC DIST SOTAVENTO,283.09090000000003,5.5,5.7,10.0,1.0,3.25,10.0,4.0,5.635714285714286
CENT EDUC DIST SAN MARTIN DE PORRES,231.05,5.0,9.15,10.0,0.0,10.0,8.950000000000001,8.75,7.4071428571428575
COL DIST TOBERIN,265.36609999999996,8.5,9.030000000000001,10.0,5.0,6.75,2.6,5.75,6.804285714285714
CENT EDUC DIST PAULO VI,265.65,5.5,8.14,8.0,7.0,4.75,10.0,4.25,6.805714285714286
COL DIST EDUC BAS Y MEDIA PROSPERO PINZON,268.5075,0.5,3.48,8.0,2.0,7.0,10.0,4.5,5.068571428571429
CENT EDUC DIST FRANCISCO DE MIRANDA,269.5929,8.0,9.34,10.0,1.0,4.5,10.0,4.25,6.727142857142858
CENT EDUC DIST PABLO NERUDA,267.7228,10.0,5.65,4.0,3.5,4.0,5.65,2.5,5.042857142857143
SALUDCOOP NORTE (INST EDUC DIST),269.81579999999997,9.5,6.8,10.0,2.0,5.5,2.3500000000000005,7.5,6.235714285714286
COL CARLO FEDERICI (INST EDUC DIST),290.3684,10.0,9.85,10.0,2.5,1.75,4.300000000000001,1.25,5.6642857142857155
CENT EDUC DIST DE USAQUEN (ANTIGUA COLONIA ESCOLAR DE VACACI,282.3152,10.0,8.95,10.0,0.0,10.0,2.3,4.75,6.571428571428571
CENT EDUC DIST PRADO VERANIEGO II,278.2679,6.5,8.7,8.0,1.0,10.0,4.05,5.0,6.178571428571429
CENT EDUC DIST ANTONIO JOSE DE SUCRE,284.5172,8.0,6.8,10.0,1.0,10.0,6.050000000000001,8.75,7.228571428571428
CENT EDUC DIST MANUEL ELKIN PATARROYO,281.3529,10.0,10.0,10.0,0.0,10.0,7.200000000000001,4.0,7.314285714285715
