Nombre,Bares,Seguridad,Act Impacto, Policia, Salud, Cultura, Deporte,Total
COL COLOMBO BRIGHTON - SEDE PRINCIPAL,265.375,8.0,8.48,10.0,0.0,6.25,4.95,6.0,6.240000000000001
NUEVO LIC GRANADINO,266.9565,0.0,0.0,2.0,4.0,1.5,10.0,3.0,2.9285714285714284
CENT EDUC WILFREDO LEHNER,263.9348,5.5,8.65,10.0,4.5,1.5,10.0,2.75,6.128571428571428
COL CIUDAD PATIO BONITO,265.8532,0.0,2.99,0.0,2.5,3.5,10.0,3.0,3.141428571428572
COL DE FORMACION INTEGRAL VIRGEN DE LA PEÑA,276.4885,7.25,7.25,10.0,1.0,7.25,8.3,2.75,6.257142857142857
COL CLARETIANO EL LIBERTADOR  - SEDE PRINCIPAL,276.2739,0.5,5.75,2.0,3.5,1.5,10.0,2.5,3.6785714285714284
COL LA NUEVA ESTANCIA,269.7308,6.5,5.25,8.0,2.0,2.25,10.0,3.25,5.321428571428571
UNID EDUC JEAN PIAGET,272.30879999999996,8.5,6.58,10.0,1.0,8.5,8.8,4.75,6.8757142857142854
COL ESTRADA DE MARIA AUXILIADORA,276.125,5.0,3.4299999999999997,10.0,1.0,10.0,7.15,10.0,6.654285714285714
INST TENERIFE,268.3256,0.0,7.790000000000001,10.0,5.0,2.75,10.0,2.75,5.47
INST ACAD BETHEL,270.72409999999996,7.5,1.06,10.0,9.0,8.5,10.0,6.25,7.472857142857143
COLEGIO ERNESTO GUHL - SEDE PRINCIPAL,272.77779999999996,1.75,6.99,10.0,2.0,2.0,10.0,3.0,5.105714285714286
COL ARTEAGA MUÑOZ,274.0,0.0,3.32,0.0,4.0,8.25,10.0,9.25,4.974285714285714
COL MAYOR DEL QUIROGA  (TALLER INF QUIROGA),287.13329999999996,9.0,5.73,10.0,1.0,7.0,10.0,7.0,7.104285714285715
COLEGIO FRANCISCO I,269.1818,7.0,5.15,10.0,6.0,2.0,10.0,2.5,6.0928571428571425
LIC LA ESPAÑOLA GABRIEL ANZOLA GOMEZ,292.58820000000003,6.0,9.65,10.0,1.0,10.0,8.8,9.25,7.814285714285715
