ID,IDESTABLEC,HORARIO,DIRECCI,NOMBRE_DEL,TIPO_DE_ES,BARRIO,NOMBRE_D_1,POINT_X,POINT_Y
105,14218,DIA/NOCHE,AV CARACAS 64 36    2y3P,BAR RESERVADO GATITAS (Reservado el Eden),Expendio de bebidas alcohslicas,Chapinero Norte,Chapinero,-74.06402018,4.651590306
108,14231,NOCTURNO,CL 62 9 49,CORPORACI9N CLUB SOCIAL JURIS SHALAD  P & K. (VIP),"Corporaci9n, Club Social",Chapinero Central,Chapinero,-74.06144257,4.647886436
135,14179,NOCTURNO,AK 15 106 82,HOSTERIA RESTAURANTE ROMANO,Alojamiento en hoteles.,Santa Barbara centra i y II,Usaquen,-74.04514537,4.691647983
153,141105,DIA,AK 15  101 06 L.106,MASAJES FACIAL Y CORPORAL ABA STETIC,Masajes Corporales,Rincon del chico,Usaquen,-74.04800143,4.685005491
163,141118,NOCHE,AK 45  162 38   P. 2,CORPORACI2N CLUB SOCIAL EL PORTAL CORCLUBSOPOR,Corporaci2n,TOBERIN,USAQUEN,-74.04759999,4.743427882
169,15729,NOCTURNO,TV 78B  68 15 S,CLUB PRIVADO LUNA PARK,Expendio de licores.,Despensa,Bosa,-74.18892126,4.604734277
176,15837,NOCTURNO,AV 1 de mayo  71D 01 S,BAR LA PRIMERA VEZ (pasarela club),Wiskeria,Carvajal,Kennedy,-74.13803241,4.61696592
178,15839,NOCTURNO,AV 1 de mayo  69A 07 S,COCO MIEL,Video bar,Carvajal,Kennedy,-74.13505963,4.613512792
190,15859,NOCTURNO,TV 79C  43A 09 S,CLUB SIRENAS SHOW,Venta y consumo de licores,Onasis,Kennedy,-74.97740213,3.691879226
202,15876,NOCTURNO,KR 86  38D 34   S P.2,WISKERIA LONDRES (londres de la 86),Expendio de Bebidas alcoh licas,Llano Grande (Pinares del Ric),Kennedy,-74.16579497,4.638074511
212,158131,DIA/NOCHE,DG 38 S 85 15 P.2,WISKERIA EL CAIRO (saldn el cairo) (Panteitas Show),Expendio de licores,Maria paz,Kennedy,-74.16293169,4.634508002
243,158180,NOCHE,AV 1 de mayo  69C 40 S,POLA Y TANGA,Expendio de bebidas alcohelicas,Carvajal,Kennedy,-74.13614964,4.615194154
282,1114162,DIA/NOCHE,AC 1  24 60,CLUB HAKARANDA,Consumo y venta de bebidas alcoholicas.,El Vergel,Martires,-74.09684483,4.594423997
330,1114326,DIA/NOCHE,AC 22  14 08,RESIDENCIAS VIENA,Residencia,Santafe,Martires,-74.07698523,4.609321183
