Nombre,Icfes,Bares,Seguridad,Act Impacto, Policia, Salud, Cultura, Deporte
COL LA NUEVA ESTANCIA,269.7308,0.0,5.25,8.0,5.0,7.25,10.0,5.25
GIMN BILING OBREGON,314.8205,6.0,9.38,10.0,5.0,8.25,10.0,5.75
NUEVO COL LUSADI,262.25,0.0,0.0,10.0,5.0,8.25,10.0,5.5
COL POPULAR BOLIVARIANO,240.6842,0.0,8.780000000000001,10.0,5.0,8.25,10.0,7.25
LIC LA CORUÑA,276.94590000000005,0.0,6.46,10.0,5.0,8.0,10.0,6.5
INST SANTA MARIA DE LA CRUZ,307.57140000000004,0.0,6.790000000000001,10.0,5.0,8.0,10.0,6.0
INST DE EDUC ELEMENTAL PREESCOLAR Y SECUNDARIA  INELPRES,300.7647,0.0,9.290000000000001,10.0,5.0,8.75,10.0,6.25
CENT EDUC DIST MANUELA BELTRAN,254.05209999999997,0.0,6.99,10.0,5.0,8.0,10.0,6.25
CEDID CIUDAD BOLIVAR,248.39049999999997,0.0,5.1,10.0,6.0,8.0,10.0,5.5
CENT EDUC DIST ISMAEL PERDOMO,257.71909999999997,0.0,9.15,10.0,10.0,8.0,10.0,5.0
COL DIST EDUC BAS Y MEDIA ARBORIZADORA ALTA,259.4587,0.0,6.7,10.0,5.0,8.25,10.0,6.0
COL ANTONIO GARCIA (INS EDUC DIST),270.0673,0.0,3.65,10.0,5.0,8.25,10.0,6.0
CENT EDUC DIST CALASANZ (BUENAVISTA),293.5875,0.0,3.44,10.0,5.0,7.5,10.0,4.25
CENT EDUC DIST RAFAEL URIBE URIBE,257.1008,0.0,9.2,10.0,10.0,8.25,10.0,4.75
CENT EDUC DIST SOTAVENTO,283.09090000000003,0.0,5.7,10.0,5.0,8.25,10.0,6.0
