Nombre,Icfes,Bares,Seguridad,Act Impacto, Policia, Salud, Cultura, Deporte
COL MAYOR DEL QUIROGA  (TALLER INF QUIROGA),287.13329999999996,6.0,5.73,10.0,5.0,10.0,10.0,9.0
COL NAL CLEMENCIA DE CAYCEDO,256.7011,4.0,5.390000000000001,8.0,5.0,10.0,10.0,10.0
CENT EDUC DIST BRAVO PAEZ,265.30170000000004,6.0,7.9,10.0,5.0,10.0,10.0,9.25
COL MARIA CANO (NIS EDUC DIST),265.16790000000003,0.0,7.4,0.0,5.0,10.0,10.0,10.0
CENT EDUC DIST QUIROGA ALIANZA,272.2879,8.0,5.88,10.0,5.0,10.0,10.0,9.0
CENT EDUC DIST ALEJANDRO OBREGON,271.57140000000004,0.0,7.5,6.0,5.0,10.0,10.0,10.0
LICEO FEM DE CUNDINAMARCA MERCEDES NARIÑO,282.8268,0.0,6.630000000000001,0.0,5.0,10.0,10.0,10.0
CENT EDUC DIST REP FEDERAL DE ALEMANIA,281.5357,0.0,6.969999999999999,6.0,5.0,10.0,10.0,7.5
CENT EDUC DIST MARRUECOS Y MOLINOS,263.8401,0.0,9.5,10.0,10.0,8.5,10.0,6.5
CENT EDUC DIST REINO DE HOLANDA,247.3886,0.0,6.75,10.0,5.0,10.0,10.0,8.5
