Nombre,Bares,Seguridad,Act Impacto, Policia, Salud, Cultura, Deporte, Total
LIC SIGLO XXI,4.5,4.590000000000001,10.0,1.0,6.0,8.95,4.25,5.612857142857143
COL SANTA LIBRADA,0.0,6.890000000000001,6.0,3.5,1.0,10.0,3.0,4.341428571428572
LIC MIX LOS CENTAUROS,3.5,5.85,6.0,3.5,1.5,10.0,2.5,4.692857142857143
INST COPESAL,4.0,4.33,10.0,2.5,6.0,9.3,4.25,5.768571428571428
COL ARIEL DAVID,5.25,9.7,10.0,2.5,1.0,9.55,2.75,5.821428571428571
INST SANTA MARIA DE LA CRUZ,0.75,6.790000000000001,10.0,1.0,3.0,10.0,4.0,5.077142857142857
COL REAL DE COLOMBIA - SEDE PRINCIPAL,6.0,7.340000000000001,10.0,2.0,7.5,8.850000000000001,3.0,6.384285714285715
COL PARROQ ADVENIAT,5.0,7.65,10.0,1.0,4.0,10.0,3.0,5.807142857142857
COL MAYOR JOSE CELESTINO MUTIS,3.5,7.05,10.0,2.0,4.0,2.1500000000000004,6.25,4.992857142857143
COL HOGAR DE NAZARETH,5.5,6.140000000000001,8.0,3.5,5.0,6.4,3.5,5.434285714285714
COL STELLA MATUTINA,10.0,9.9,10.0,0.0,5.0,2.25,7.5,6.378571428571428
COL INGLATERRA REAL,9.0,9.530000000000001,10.0,0.0,4.25,1.9,8.25,6.132857142857143
GIMN COMERCIAL LOS ANDES - SEDE PRINCIPAL,0.0,6.640000000000001,10.0,3.5,5.25,10.0,6.25,5.948571428571428
LIC HOMERICO,0.0,4.22,10.0,2.5,7.0,8.8,4.75,5.324285714285714
COL SANTA ROSA DE LIMA,6.0,8.330000000000002,4.0,3.0,10.0,5.8500000000000005,10.0,6.74
LIC MARANATA,5.75,9.95,10.0,5.0,0.75,6.050000000000001,1.25,5.535714285714286
INST DE EDUC ELEMENTAL PREESCOLAR Y SECUNDARIA  INELPRES,7.25,9.290000000000001,10.0,0.0,3.75,10.0,4.25,6.362857142857143
INST TOMAS DE IRIARTE,5.25,4.95,10.0,3.5,9.75,9.450000000000001,4.75,6.807142857142858
GIMNASIO MODELIA REAL - SEDE PRINCIPAL,0.0,6.99,10.0,1.0,10.0,5.45,6.75,5.741428571428572
CENT DE INTEGRACION EDUCACION DEL NORTE (CIEN ),0.5,0.5799999999999998,4.0,1.0,6.5,9.55,4.5,3.8042857142857147
COL DE LA ENSEÑANZA,10.0,10.0,10.0,0.0,2.5,1.1500000000000001,8.5,6.021428571428571
INST ALBERTO MERANI,9.0,9.65,10.0,0.0,4.0,1.85,8.5,6.142857142857143
COL COOP MINUTO DE DIOS,0.0,8.75,10.0,1.0,10.0,8.55,9.75,6.864285714285714
COL HARVARD,8.0,6.71,10.0,1.0,10.0,4.95,10.0,7.2371428571428575
INSTITUTO EDUCATIVO FUTURO HOY - SEDE PRINCIPAL,1.5,2.74,10.0,0.0,10.0,10.0,10.0,6.32
CENT PANAMERICANO DE CAPACITACION SEDE CHAPINERO,0.0,0.0,0.0,8.0,10.0,6.9,10.0,4.985714285714286
COL JAIME QUIJANO CABALLERO,0.75,5.48,2.0,2.0,6.0,10.0,4.25,4.354285714285714
INST MILIT AQUILEO PARRA,10.0,9.8,10.0,0.0,5.5,3.25,6.75,6.471428571428571
LIC PSICOPEDAG TIBABITA,10.0,10.0,10.0,1.0,3.0,1.55,5.5,5.864285714285714
COL SANTIAGO MAYOR,10.0,9.95,10.0,0.0,4.75,2.95,7.25,6.4142857142857155
COL SAN SIMON,8.0,8.49,10.0,1.0,6.25,3.45,6.0,6.170000000000001
LIC FORMACION EDUC PERSONALIZADA,9.0,7.49,10.0,1.0,10.0,4.75,10.0,7.4628571428571435
INSTITUTO COMERCIAL LORETO - SEDE PRINCIPAL,7.25,9.35,10.0,1.0,4.75,10.0,4.0,6.621428571428572
COL LUTERANO SAN LUCAS,0.75,0.14999999999999974,4.0,1.0,7.0,10.0,4.5,3.914285714285714
COL SANTA LUISA,8.0,8.75,10.0,2.5,4.25,10.0,4.5,6.857142857142857
COL EL MINUTO DE DIOS,0.0,8.65,10.0,1.0,10.0,8.4,9.75,6.828571428571428
COL DE LA PRESENTACION SANS FACON,7.0,9.15,10.0,3.0,6.25,2.5,6.0,6.271428571428571
LIC  DE CERVANTES PADRES AGUSTINOS,9.5,8.59,10.0,0.0,7.5,3.3500000000000005,5.25,6.312857142857143
COL EMILIO VALENZUELA - SEDE PRINCIPAL,10.0,9.95,10.0,0.0,5.0,2.4000000000000004,7.5,6.4071428571428575
COL HIJAS DE CRISTO REY,7.5,8.34,10.0,1.0,8.25,5.1000000000000005,5.0,6.455714285714286
GIMN MILIT FUERZA AEREA DE COLOMBIA,0.0,7.619999999999998,10.0,2.5,7.5,10.0,4.75,6.0528571428571425
COL RR OBLATAS AL DIVINO AMOR,3.5,6.85,10.0,2.0,10.0,6.6000000000000005,10.0,6.992857142857143
COL PROVINMA,9.5,8.14,10.0,0.0,9.75,2.2,3.5,6.155714285714287
LIC LA SABANA,10.0,9.25,10.0,0.0,6.25,3.7,5.75,6.421428571428572
