Nombre,Bares,Seguridad,Act Impacto, Policia, Salud, Cultura, Deporte, Total
CENT PANAMERICANO DE CAPACITACION SEDE RESTREPO,0.0,1.4600000000000002,0.0,5.5,8.5,7.575,9.5,4.647857142857142
COL ARTEAGA MUÑOZ,0.0,1.8199999999999996,0.0,4.0,8.25,7.275,9.25,4.3707142857142856
COL ADVENTISTA EMMANUEL,0.0,2.7099999999999995,1.0,3.5,9.25,7.325,8.5,4.612142857142857
ESC NORMAL SUPERIOR NSTRA SRA DE LA PAZ,5.25,7.809999999999999,5.0,3.0,8.25,6.9,8.5,6.387142857142857
COL DIST GUILLERMO LEON VALENCIA,0.0,1.8499999999999999,1.0,5.5,8.75,7.250000000000001,8.5,4.692857142857143
CENT EDUC DIST ANTONIO BARAYA,0.0,0.0,0.0,6.0,8.25,7.4,9.75,4.485714285714286
CEDIT FRANCISCO DE PAULA SANTANDER,3.3,7.419999999999999,6.0,4.5,8.0,7.15,8.5,6.409999999999999
COL DIST EDUC BAS Y MEDIA ATANASIO GIRARDOT,4.35,6.79,5.0,3.0,9.0,6.925000000000001,8.25,6.187857142857142
