Nombre,Bares,Seguridad,Act Impacto, Policia, Salud, Cultura, Deporte, Total
COL SANTA ROSA DE LIMA,4.55,6.6800000000000015,0.0,3.0,10.0,2.9250000000000003,10.0,5.307857142857143
COL HARVARD,8.0,5.3100000000000005,8.0,1.0,10.0,2.475,10.0,6.397857142857143
LIC FORMACION EDUC PERSONALIZADA,8.6,6.33,9.0,1.0,10.0,2.375,10.0,6.757857142857143
COL DIST TOMAS CARRASQUILLA,3.9,4.199999999999999,4.0,3.5,10.0,3.2750000000000004,10.0,5.553571428571429
COL DIST REP DE PANAMA,4.199999999999999,0.0,6.0,3.5,10.0,3.075,10.0,5.253571428571428
COL DIST HELADIA MEJIA HIJOS DE EDUCADORES,0.0,3.729999999999999,0.0,4.0,10.0,3.075,10.0,4.400714285714285
COL DIST RAFAEL BERNAL JIMENEZ,6.199999999999999,0.6599999999999997,8.0,2.0,10.0,2.9750000000000005,10.0,5.690714285714286
