OBJECTID_1	Nombre	Direccion	Caracter	POINT_X	POINT_Y
725	FUNDACION ORQUESTA SINFONICA JUVENIL COLOMBIA	KR 16 49 52	PUBL	-74068515654199900	4637353468600000
725	FUNDACION ORQUESTA SINFONICA JUVENIL COLOMBIA	KR 16 49 52	PUBL	-74068522161999900	4637322691700000
725	FUNDACION ORQUESTA SINFONICA JUVENIL COLOMBIA	KR 16 49 52	PUBL	-74068542010599900	4637213305380000
725	FUNDACION ORQUESTA SINFONICA JUVENIL COLOMBIA	KR 16 49 52	PUBL	-74068886560099900	4637272373900000
725	FUNDACION ORQUESTA SINFONICA JUVENIL COLOMBIA	KR 16 49 52	PUBL	-74068860392999900	4637421031540000
730	SALON COMUNAL BARRIO DIVINO NIÃ‘O	KR 87 Q 69 A 19 SUR	PUBL	-74196221412100000	4623543654950000
730	SALON COMUNAL BARRIO DIVINO NIÃ‘O	KR 87 Q 69 A 19 SUR	PUBL	-74196188938999900	4623500297540000
730	SALON COMUNAL BARRIO DIVINO NIÃ‘O	KR 87 Q 69 A 19 SUR	PUBL	-74196156465200000	4623456940050000
730	SALON COMUNAL BARRIO DIVINO NIÃ‘O	KR 87 Q 69 A 19 SUR	PUBL	-74196121827200000	4623410691930000
730	SALON COMUNAL BARRIO DIVINO NIÃ‘O	KR 87 Q 69 A 19 SUR	PUBL	-74196331450000000	4623318634490000
730	SALON COMUNAL BARRIO DIVINO NIÃ‘O	KR 87 Q 69 A 19 SUR	PUBL	-74196374793199900	4623418007090000
730	SALON COMUNAL BARRIO DIVINO NIÃ‘O	KR 87 Q 69 A 19 SUR	PUBL	-74196418137300000	4623517379610000
730	SALON COMUNAL BARRIO DIVINO NIÃ‘O	KR 87 Q 69 A 19 SUR	PUBL	-74196256050900000	4623589903070000
730	SALON COMUNAL BARRIO DIVINO NIÃ‘O	KR 87 Q 69 A 19 SUR	PUBL	-74196221412100000	4623543654950000
733	SALON COMUNAL LA VEGUITA	KR 82 I 59 B 23 SUR	PUBL	-74186450543700000	4616970664170000
733	SALON COMUNAL LA VEGUITA	KR 82 I 59 B 23 SUR	PUBL	-74186403339500000	4616985581080000
733	SALON COMUNAL LA VEGUITA	KR 82 I 59 B 23 SUR	PUBL	-74186372255600000	4616910374230000
733	SALON COMUNAL LA VEGUITA	KR 82 I 59 B 23 SUR	PUBL	-74186419369700000	4616894643840000
733	SALON COMUNAL LA VEGUITA	KR 82 I 59 B 23 SUR	PUBL	-74186444867500000	4616957376470000
