Nombre,Bares,Seguridad,Act Impacto, Policia, Salud, Cultura, Deporte, Total
COL INST INSCAP SEDE FERIAS,2.55,6.55,4.0,1.0,10.0,3.4750000000000005,10.0,5.367857142857143
COL DE FORMACION INTEGRAL VIRGEN DE LA PEÑA,7.45,6.81,9.0,1.0,7.25,4.15,2.75,5.487142857142857
COL ESTRADA DE MARIA AUXILIADORA,4.3,2.3499999999999996,4.0,1.0,10.0,3.575,10.0,5.032142857142857
COLEGIO MAYOR PRIMEROS MAESTROS,3.6999999999999997,3.87,1.0,2.0,10.0,4.700000000000001,7.75,4.717142857142858
LIC LA ESPAÑOLA GABRIEL ANZOLA GOMEZ,4.8,9.13,9.0,1.0,10.0,4.4,9.25,6.797142857142857
COL CATOLICO DE LA SABANA,6.15,8.63,10.0,3.5,7.25,3.85,3.0,6.054285714285714
INST SUP COOPERATIVO,3.5999999999999996,6.27,9.0,1.0,10.0,4.575,8.75,6.170714285714285
COL TOMAS ALVA EDISON,9.25,9.809999999999999,10.0,1.0,3.25,3.05,2.0,5.4799999999999995
COL CAFAM,7.25,5.780000000000001,6.0,0.0,10.0,3.25,10.0,6.04
COL DE BTO UNIVERSIDAD LIBRE,5.05,8.43,9.0,2.0,10.0,3.325,10.0,6.8292857142857155
CENT CIAL DE EDUC MEDIA MARGARITA BOSCO,3.1499999999999995,7.3999999999999995,5.0,2.0,10.0,3.8000000000000003,10.0,5.907142857142857
COL REAL DE COLOMBIA - SEDE PRINCIPAL,6.4,6.870000000000001,10.0,2.0,7.5,4.425000000000001,3.0,5.742142857142858
INST TOMAS DE IRIARTE,5.25,4.46,9.0,3.5,9.75,4.7250000000000005,4.75,5.9192857142857145
COL COOP MINUTO DE DIOS,3.0,8.39,10.0,1.0,10.0,4.275,9.75,6.630714285714285
COL EL MINUTO DE DIOS,3.35,8.31,10.0,1.0,10.0,4.2,9.75,6.658571428571428
COL RR OBLATAS AL DIVINO AMOR,4.05,6.1499999999999995,9.0,2.0,10.0,3.3000000000000003,10.0,6.357142857142857
CENT EDUC DIST GUILLERMO LEON VALENCIA,2.05,4.33,5.0,2.5,10.0,5.1,7.0,5.14
COL DIST MARIANO OSPINA PEREZ,3.0,7.57,7.0,2.0,10.0,3.5250000000000004,10.0,6.156428571428571
COLEGIO RODOLFO LLINAS IED - SEDE PRINCIPAL,8.05,9.319999999999999,10.0,2.0,8.0,4.1000000000000005,3.75,6.46
CENT EDUC DIST MANUELA AYALA DE GAITAN,0.0,5.569999999999999,0.0,3.5,10.0,4.15,7.75,4.424285714285714
CENT EDUC DIST NUEVA CONSTITUCION,5.35,6.640000000000001,10.0,1.0,8.0,4.425000000000001,3.0,5.487857142857144
COL DIST SIMON BOLIVAR,3.4,7.630000000000001,6.0,2.0,10.0,4.75,5.25,5.575714285714286
CENT EDUC DIST ANTONIO VILLAVICENCIO,9.6,9.22,9.0,1.0,5.0,3.025,1.75,5.513571428571429
LICEO NAL MAGDALENA ORTEGA DE NARIÑO,2.8499999999999996,4.88,6.0,2.0,10.0,3.45,10.0,5.597142857142857
