Nombre,Bares,Seguridad,Act Impacto, Policia, Salud, Cultura, Deporte,Total
COL COLOMBO BRIGHTON - SEDE PRINCIPAL,8.6,7.68,10.0,0.0,6.25,2.475,6.0,5.857857142857143
CENT EDUC PARA JOVENES Y ADULTOS LEPANTO,4.65,6.79,10.0,7.0,7.25,6.875,6.5,7.009285714285714
NUEVO LIC GRANADINO,1.6999999999999997,0.0,1.0,4.0,1.5,6.525,3.0,2.5321428571428575
COL COLOMBO JAPONES,3.0,9.12,10.0,1.0,3.0,6.4750000000000005,4.0,5.227857142857142
CENT PANAMERICANO DE CAPACITACION SEDE RESTREPO,0.0,1.4600000000000002,0.0,5.5,8.5,7.575,9.5,4.647857142857142
COL CIUDAD PATIO BONITO,0.0,2.33,0.0,2.5,3.5,5.550000000000001,3.0,2.411428571428572
EXTERN SIMON BOLIVAR,0.0,0.0,0.0,10.0,10.0,3.5500000000000003,10.0,4.792857142857143
COL LA NUEVA ESTANCIA,5.35,4.55,8.0,2.0,2.25,5.9750000000000005,3.25,4.482142857142857
COLEGIO MAYOR PRIMEROS MAESTROS,3.6999999999999997,3.87,1.0,2.0,10.0,4.700000000000001,7.75,4.717142857142858
INST ACAD BETHEL,7.35,0.0,3.0,9.0,8.5,8.125,6.25,6.0321428571428575
COLEGIO ERNESTO GUHL - SEDE PRINCIPAL,1.1999999999999993,6.2,2.0,2.0,2.0,5.775,3.0,3.1678571428571423
COL ARTEAGA MUÑOZ,0.0,1.8199999999999996,0.0,4.0,8.25,7.275,9.25,4.3707142857142856
COL MAYOR DEL QUIROGA  (TALLER INF QUIROGA),7.6,4.53,7.0,1.0,7.0,7.200000000000001,7.0,5.904285714285714
LIC LA ESPAÑOLA GABRIEL ANZOLA GOMEZ,4.8,9.13,9.0,1.0,10.0,4.4,9.25,6.797142857142857
COL CATOLICO DE LA SABANA,6.15,8.63,10.0,3.5,7.25,3.85,3.0,6.054285714285714
INST PEDAG PARA EL DESARROLLO INTEGRAL CREAR,5.25,7.81,10.0,2.5,10.0,4.125,7.75,6.776428571428572
COL ADVENTISTA EMMANUEL,0.0,2.7099999999999995,1.0,3.5,9.25,7.325,8.5,4.612142857142857
GIMN NUEVO SUBA,1.7,2.14,10.0,5.0,6.5,4.0,3.25,4.655714285714287
COLEGIO SANTO DOMINGO BILINGÜE,1.0,8.63,0.0,0.0,6.25,6.65,4.75,3.8971428571428572
COLEGIO AGUSTINIANO TAGASTE - SEDE PRINCIPAL,9.5,9.790000000000001,10.0,0.0,7.25,2.875,3.0,6.059285714285714
COL DE BTO UNIVERSIDAD LIBRE,5.05,8.43,9.0,2.0,10.0,3.325,10.0,6.8292857142857155
COL ALFONSO JARAMILLO,6.35,6.22,9.0,1.0,6.5,1.7750000000000001,5.75,5.227857142857142
C.E. FORMAL PARA ADULTOS LOS SAUCES - SEDE PRINCIPAL,7.4,6.5,10.0,1.0,1.75,5.675000000000001,1.75,4.867857142857143
INST PEDAG LA REAL SOCIEDAD - SEDE PRINCIPAL,0.5,6.87,1.0,3.5,1.0,5.5,3.0,3.052857142857143
NUEVO COL LUSADI,3.4499999999999993,0.0,10.0,2.0,3.25,6.4750000000000005,3.5,4.0964285714285715
COL POPULAR BOLIVARIANO,3.25,8.350000000000001,10.0,1.0,3.25,6.625,5.25,5.389285714285714
COL RAFAEL GOBERNA II SEDE,3.05,4.16,6.0,0.0,7.25,5.15,4.0,4.2299999999999995
LIC ARKADIA COLOMBIA,5.3,5.640000000000001,9.0,1.0,3.25,2.5,2.5,4.17
LIC  ANTONIO DE TOLEDO,4.449999999999999,5.210000000000001,8.0,8.5,1.5,5.325000000000001,2.75,5.1049999999999995
LIC LA CORUÑA,5.949999999999999,6.18,10.0,0.0,3.0,5.825000000000001,4.5,5.0649999999999995
LIC SIGLO XXI,4.9,3.7600000000000007,8.0,1.0,6.0,4.475,4.25,4.626428571428571
COL SANTA LIBRADA,1.2,6.75,4.0,3.5,1.0,5.675000000000001,3.0,3.5892857142857144
LIC MIX LOS CENTAUROS,2.75,5.069999999999999,4.0,3.5,1.5,5.975,2.5,3.613571428571429
INST COPESAL,4.1,3.3599999999999994,6.0,2.5,6.0,4.65,4.25,4.408571428571428
COL ARIEL DAVID,3.8499999999999996,9.45,9.0,2.5,1.0,4.775,2.75,4.760714285714285
INST SANTA MARIA DE LA CRUZ,2.5,6.280000000000001,10.0,1.0,3.0,5.9,4.0,4.668571428571428
COL MAYOR JOSE CELESTINO MUTIS,5.05,6.6499999999999995,8.0,2.0,4.0,1.0750000000000002,6.25,4.7178571428571425
COL HOGAR DE NAZARETH,3.45,5.25,8.0,3.5,5.0,3.2,3.5,4.557142857142857
COL STELLA MATUTINA,9.7,9.75,10.0,0.0,5.0,1.125,7.5,6.153571428571429
COL INGLATERRA REAL,8.8,9.31,10.0,0.0,4.25,0.95,8.25,5.937142857142858
GIMN COMERCIAL LOS ANDES - SEDE PRINCIPAL,0.0,5.720000000000001,1.0,3.5,5.25,6.550000000000001,6.25,4.038571428571429
LIC HOMERICO,1.6999999999999997,3.3,10.0,2.5,7.0,4.4,4.75,4.807142857142857
COL SANTA ROSA DE LIMA,4.55,6.6800000000000015,0.0,3.0,10.0,2.9250000000000003,10.0,5.307857142857143
LIC MARANATA,6.6,9.86,10.0,5.0,0.75,3.0250000000000004,1.25,5.212142857142857
INST DE EDUC ELEMENTAL PREESCOLAR Y SECUNDARIA  INELPRES,7.75,9.05,10.0,0.0,3.75,6.1,4.25,5.8428571428571425
INST TOMAS DE IRIARTE,5.25,4.46,9.0,3.5,9.75,4.7250000000000005,4.75,5.9192857142857145
CENT DE INTEGRACION EDUCACION DEL NORTE (CIEN ),1.5999999999999996,0.0,4.0,1.0,6.5,4.775,4.5,3.1964285714285716
COL DE LA ENSEÑANZA,10.0,10.0,10.0,0.0,2.5,0.5750000000000001,8.5,5.939285714285715
COL COOP MINUTO DE DIOS,3.0,8.39,10.0,1.0,10.0,4.275,9.75,6.630714285714285
COL HARVARD,8.0,5.3100000000000005,8.0,1.0,10.0,2.475,10.0,6.397857142857143
INSTITUTO EDUCATIVO FUTURO HOY - SEDE PRINCIPAL,3.95,1.3699999999999999,9.0,0.0,10.0,5.1,10.0,5.631428571428572
CENT PANAMERICANO DE CAPACITACION SEDE CHAPINERO,0.0,0.0,0.0,8.0,10.0,3.45,10.0,4.492857142857143
COL JAIME QUIJANO CABALLERO,1.9,4.49,0.0,2.0,6.0,6.925,4.25,3.652142857142857
INST MILIT AQUILEO PARRA,10.0,9.58,10.0,0.0,5.5,1.625,6.75,6.207857142857143
